OWENArchiver
Дата;Время;weight;с_weight;tenzo_h;tenzo_l;temp;temp_top
2023-01-31;00:00:00;6870;6870;125;27387;65533;1550
2023-01-31;00:00:05;6870;6870;125;27393;65533;1550
2023-01-31;00:00:10;6870;6870;125;27394;65533;1550
2023-01-31;00:00:15;6870;6870;125;27389;65533;1550
2023-01-31;00:00:20;6870;6870;125;27381;65533;1550
2023-01-31;00:00:25;6870;6870;125;27382;65533;1550
2023-01-31;00:00:30;6870;6870;125;27382;65533;1550
2023-01-31;00:00:35;6870;6870;125;27383;65533;1550
2023-01-31;00:00:40;6870;6870;125;27382;65534;1550
2023-01-31;00:00:45;6870;6870;125;27383;65534;1550
2023-01-31;00:00:50;6870;6870;125;27384;65534;1550
2023-01-31;00:00:55;6870;6870;125;27385;65534;1550
2023-01-31;00:01:00;6870;6870;125;27385;65533;1550
2023-01-31;00:01:05;6870;6870;125;27380;65534;1550
2023-01-31;00:01:10;6870;6870;125;27382;65534;1550
2023-01-31;00:01:15;6870;6870;125;27385;65534;1550
2023-01-31;00:01:20;6870;6870;125;27384;65534;1550
2023-01-31;00:01:25;6870;6870;125;27385;65534;1550
2023-01-31;00:01:30;6870;6870;125;27384;65534;1550
2023-01-31;00:01:35;6870;6870;125;27384;65534;1550
2023-01-31;00:01:40;6870;6870;125;27381;65534;1550
2023-01-31;00:01:45;6870;6870;125;27382;65534;1550
2023-01-31;00:01:50;6870;6870;125;27389;65534;1550
2023-01-31;00:01:55;6870;6870;125;27386;65534;1550
2023-01-31;00:02:00;6870;6870;125;27382;65534;1550
2023-01-31;00:02:05;6870;6870;125;27383;65534;1550
2023-01-31;00:02:10;6870;6870;125;27383;65534;1550
2023-01-31;00:02:15;6870;6870;125;27384;65534;1550
2023-01-31;00:02:20;6870;6870;125;27384;65534;1550
2023-01-31;00:02:25;6870;6870;125;27379;65534;1550
2023-01-31;00:02:30;6870;6870;125;27373;65534;1550
2023-01-31;00:02:35;6870;6870;125;27374;65534;1550
2023-01-31;00:02:40;6870;6870;125;27380;65534;1550
2023-01-31;00:02:45;6870;6870;125;27380;65534;1550
2023-01-31;00:02:50;6870;6870;125;27387;65534;1550
2023-01-31;00:02:55;6870;6870;125;27382;65534;1550
2023-01-31;00:03:00;6870;6870;125;27376;65534;1550
2023-01-31;00:03:05;6870;6870;125;27377;65534;1550
2023-01-31;00:03:10;6870;6870;125;27373;65534;1550
2023-01-31;00:03:15;6870;6870;125;27376;65535;1550
2023-01-31;00:03:20;6870;6870;125;27376;65534;1550
2023-01-31;00:03:25;6870;6870;125;27381;65534;1550
2023-01-31;00:03:30;6870;6870;125;27378;65534;1550
2023-01-31;00:03:35;6870;6870;125;27375;65534;1550
2023-01-31;00:03:40;6870;6870;125;27378;65534;1550
2023-01-31;00:03:45;6870;6870;125;27382;65535;1550
2023-01-31;00:03:50;6870;6870;125;27380;65535;1550
2023-01-31;00:03:55;6870;6870;125;27380;65535;1550
2023-01-31;00:04:00;6870;6870;125;27386;65535;1550
2023-01-31;00:04:05;6870;6870;125;27377;65535;1550
2023-01-31;00:04:10;6870;6870;125;27365;65535;1550
2023-01-31;00:04:15;6870;6870;125;27377;65535;1550
2023-01-31;00:04:20;6870;6870;125;27382;65535;1550
2023-01-31;00:04:25;6870;6870;125;27372;65535;1550
2023-01-31;00:04:30;6870;6870;125;27372;65535;1550
2023-01-31;00:04:35;6870;6870;125;27369;65535;1550
2023-01-31;00:04:40;6870;6870;125;27377;65535;1550
2023-01-31;00:04:45;6870;6870;125;27377;65535;1550
2023-01-31;00:04:50;6870;6870;125;27372;65535;1550
2023-01-31;00:04:55;6870;6870;125;27372;65535;1550
2023-01-31;00:05:00;6870;6870;125;27374;65535;1550
2023-01-31;00:05:05;6870;6870;125;27374;65535;1550
2023-01-31;00:05:10;6870;6870;125;27379;65535;1550
2023-01-31;00:05:15;6870;6870;125;27379;65535;1550
2023-01-31;00:05:20;6870;6870;125;27373;65535;1550
2023-01-31;00:05:25;6870;6870;125;27369;65535;1550
2023-01-31;00:05:30;6870;6870;125;27367;65535;1550
2023-01-31;00:05:35;6870;6870;125;27368;65535;1550
2023-01-31;00:05:40;6870;6870;125;27368;65535;1550
2023-01-31;00:05:45;6870;6870;125;27374;65535;1550
2023-01-31;00:05:50;6870;6870;125;27377;65535;1550
2023-01-31;00:05:55;6870;6870;125;27377;65535;1550
2023-01-31;00:06:00;6870;6870;125;27371;65535;1550
2023-01-31;00:06:05;6870;6870;125;27372;65535;1550
2023-01-31;00:06:10;6870;6870;125;27379;65535;1550
2023-01-31;00:06:15;6870;6870;125;27379;65535;1550
2023-01-31;00:06:20;6870;6870;125;27377;65535;1550
2023-01-31;00:06:25;6870;6870;125;27372;65535;1550
2023-01-31;00:06:30;6870;6870;125;27369;65535;1550
2023-01-31;00:06:35;6870;6870;125;27376;65535;1550
2023-01-31;00:06:40;6870;6870;125;27388;0;1550
2023-01-31;00:06:45;6870;6870;125;27385;0;1550
2023-01-31;00:06:50;6870;6870;125;27385;65535;1550
