OWENArchiver
Дата;Время;k_int_ref;с_weight;bridge_temp;tenzo_h;tenzo_l;LH;LL;free
2023-03-12;00:00:01;799;45;65374;0;3192;0;3269;16
2023-03-12;00:00:06;799;45;65371;0;3192;0;3269;16
2023-03-12;00:00:11;799;45;65372;0;3195;0;3269;16
2023-03-12;00:00:16;799;45;65372;0;3195;0;3269;16
2023-03-12;00:00:21;799;45;65374;0;3194;0;3269;16
2023-03-12;00:00:26;799;45;65372;0;3194;0;3269;16
2023-03-12;00:00:31;799;45;65372;0;3196;0;3269;16
2023-03-12;00:00:36;799;45;65372;0;3195;0;3269;16
2023-03-12;00:00:41;799;45;65371;0;3192;0;3269;16
2023-03-12;00:00:46;799;45;65372;0;3191;0;3269;16
2023-03-12;00:00:51;799;45;65374;0;3193;0;3269;16
2023-03-12;00:00:56;799;45;65374;0;3193;0;3269;16
2023-03-12;00:01:01;799;45;65371;0;3195;0;3269;16
2023-03-12;00:01:06;799;45;65372;0;3196;0;3269;16
2023-03-12;00:01:11;798;45;65375;0;3194;0;3269;16
2023-03-12;00:01:16;799;45;65372;0;3194;0;3269;16
2023-03-12;00:01:21;799;45;65372;0;3197;0;3270;16
2023-03-12;00:01:26;799;45;65372;0;3197;0;3270;16
2023-03-12;00:01:31;798;45;65375;0;3196;0;3270;16
2023-03-12;00:01:36;799;45;65371;0;3193;0;3269;16
2023-03-12;00:01:41;799;45;65372;0;3192;0;3269;16
2023-03-12;00:01:46;799;45;65372;0;3193;0;3269;16
2023-03-12;00:01:51;799;45;65374;0;3193;0;3269;16
2023-03-12;00:01:56;799;45;65372;0;3192;0;3269;16
2023-03-12;00:02:01;799;45;65372;0;3192;0;3269;16
2023-03-12;00:02:06;799;45;65371;0;3194;0;3269;16
2023-03-12;00:02:11;799;45;65371;0;3195;0;3269;16
2023-03-12;00:02:16;799;45;65372;0;3195;0;3269;16
2023-03-12;00:02:21;799;45;65372;0;3195;0;3269;16
2023-03-12;00:02:26;799;45;65372;0;3196;0;3269;16
2023-03-12;00:02:31;799;45;65372;0;3194;0;3269;16
