Дата;Время;k_int_ref;с_weight;bridge_temp;tenzo_h;tenzo_l;LH;LL;free;temp;datetime;level
14.03.2023;0:00:00;799;60;65380;1;51956;1;52048;0;-1.56;14.03.2023 0:00;117584
14.03.2023;0:00:05;799;60;65378;1;51956;1;52048;0;-1.58;14.03.2023 0:00;117584
14.03.2023;0:00:10;796;60;65375;1;51953;1;52048;0;-1.61;14.03.2023 0:00;117584
14.03.2023;0:00:15;799;60;65378;1;51952;1;52048;0;-1.58;14.03.2023 0:00;117584
14.03.2023;0:00:20;796;60;65375;1;51953;1;52048;0;-1.61;14.03.2023 0:00;117584
14.03.2023;0:00:25;796;60;65375;1;51953;1;52048;0;-1.61;14.03.2023 0:00;117584
14.03.2023;0:00:30;799;60;65378;1;51954;1;52048;0;-1.58;14.03.2023 0:00;117584
14.03.2023;0:00:35;799;60;65377;1;51951;1;52048;0;-1.59;14.03.2023 0:00;117584
14.03.2023;0:00:40;796;60;65375;1;51950;1;52048;0;-1.61;14.03.2023 0:00;117584
14.03.2023;0:00:45;799;60;65377;1;51952;1;52048;0;-1.59;14.03.2023 0:00;117584
14.03.2023;0:00:50;799;60;65378;1;51952;1;52048;0;-1.58;14.03.2023 0:00;117584
14.03.2023;0:00:55;799;60;65377;1;51951;1;52048;0;-1.59;14.03.2023 0:00;117584
14.03.2023;0:01:00;799;60;65377;1;51951;1;52048;0;-1.59;14.03.2023 0:01;117584
14.03.2023;0:01:05;799;60;65377;1;51953;1;52048;0;-1.59;14.03.2023 0:01;117584
14.03.2023;0:01:10;799;60;65377;1;51952;1;52048;0;-1.59;14.03.2023 0:01;117584
14.03.2023;0:01:15;799;60;65377;1;51953;1;52048;0;-1.59;14.03.2023 0:01;117584
14.03.2023;0:01:20;797;60;65375;1;51952;1;52048;0;-1.61;14.03.2023 0:01;117584
14.03.2023;0:01:25;799;60;65377;1;51952;1;52048;0;-1.59;14.03.2023 0:01;117584
14.03.2023;0:01:30;797;60;65375;1;51953;1;52048;0;-1.61;14.03.2023 0:01;117584
14.03.2023;0:01:35;797;60;65375;1;51953;1;52048;0;-1.61;14.03.2023 0:01;117584
14.03.2023;0:01:40;797;60;65375;1;51953;1;52048;0;-1.61;14.03.2023 0:01;117584
14.03.2023;0:01:45;799;60;65378;1;51952;1;52048;0;-1.58;14.03.2023 0:01;117584
14.03.2023;0:01:50;799;60;65378;1;51951;1;52048;0;-1.58;14.03.2023 0:01;117584
14.03.2023;0:01:55;797;60;65375;1;51950;1;52047;0;-1.61;14.03.2023 0:01;117583
14.03.2023;0:02:00;799;60;65377;1;51949;1;52047;0;-1.59;14.03.2023 0:02;117583
14.03.2023;0:02:05;799;60;65377;1;51952;1;52047;0;-1.59;14.03.2023 0:02;117583
14.03.2023;0:02:10;799;60;65377;1;51952;1;52047;0;-1.59;14.03.2023 0:02;117583
14.03.2023;0:02:15;799;60;65377;1;51953;1;52047;0;-1.59;14.03.2023 0:02;117583
14.03.2023;0:02:20;799;60;65377;1;51952;1;52047;0;-1.59;14.03.2023 0:02;117583
14.03.2023;0:02:25;797;60;65375;1;51950;1;52047;0;-1.61;14.03.2023 0:02;117583
14.03.2023;0:02:30;799;60;65378;1;51953;1;52047;0;-1.58;14.03.2023 0:02;117583
14.03.2023;0:02:35;798;60;65375;1;51954;1;52047;0;-1.61;14.03.2023 0:02;117583
14.03.2023;0:02:40;798;60;65375;1;51954;1;52047;0;-1.61;14.03.2023 0:02;117583
14.03.2023;0:02:45;799;60;65377;1;51953;1;52047;0;-1.59;14.03.2023 0:02;117583
