OWENArchiver
Дата;Время;k_int_ref;с_weight;bridge_temp;tenzo_h;tenzo_l;LH;LL;free
2023-03-15;00:00:01;799;62;261;3;38325;3;38132;0
2023-03-15;00:00:06;799;62;261;3;38324;3;38132;0
2023-03-15;00:00:11;799;62;260;3;38326;3;38132;0
2023-03-15;00:00:16;798;62;264;3;38327;3;38132;0
2023-03-15;00:00:21;798;62;264;3;38326;3;38132;0
2023-03-15;00:00:26;799;62;261;3;38329;3;38132;0
2023-03-15;00:00:31;798;62;264;3;38327;3;38132;0
2023-03-15;00:00:36;798;62;264;3;38327;3;38132;0
2023-03-15;00:00:41;799;62;263;3;38326;3;38132;0
2023-03-15;00:00:46;798;62;264;3;38328;3;38132;0
2023-03-15;00:00:51;798;62;264;3;38327;3;38132;0
2023-03-15;00:00:56;799;62;263;3;38325;3;38132;0
2023-03-15;00:01:01;798;62;264;3;38324;3;38132;0
2023-03-15;00:01:06;799;62;264;3;38326;3;38132;0
2023-03-15;00:01:11;799;62;264;3;38326;3;38132;0
2023-03-15;00:01:16;799;62;263;3;38327;3;38132;0
2023-03-15;00:01:21;799;62;263;3;38328;3;38132;0
2023-03-15;00:01:26;799;62;263;3;38328;3;38132;0
2023-03-15;00:01:31;799;62;263;3;38326;3;38132;0
2023-03-15;00:01:36;799;62;263;3;38323;3;38132;0
2023-03-15;00:01:41;799;62;264;3;38323;3;38131;0
2023-03-15;00:01:46;799;62;264;3;38323;3;38131;0
2023-03-15;00:01:51;799;62;263;3;38326;3;38131;0
2023-03-15;00:01:56;799;62;264;3;38327;3;38131;0
2023-03-15;00:02:01;799;62;264;3;38325;3;38131;0
2023-03-15;00:02:06;796;62;266;3;38326;3;38131;0
2023-03-15;00:02:11;799;62;264;3;38327;3;38131;0
2023-03-15;00:02:16;799;62;264;3;38326;3;38131;0
2023-03-15;00:02:21;799;62;264;3;38326;3;38131;0
2023-03-15;00:02:26;799;62;263;3;38327;3;38131;0
2023-03-15;00:02:31;799;62;263;3;38326;3;38131;0
2023-03-15;00:02:36;799;62;264;3;38324;3;38131;0
2023-03-15;00:02:41;799;62;263;3;38327;3;38131;0
2023-03-15;00:02:46;799;62;263;3;38330;3;38131;0
2023-03-15;00:02:51;796;62;266;3;38329;3;38131;0
2023-03-15;00:02:56;796;62;266;3;38329;3;38131;0
2023-03-15;00:03:01;799;62;263;3;38328;3;38131;0
2023-03-15;00:03:06;799;62;264;3;38326;3;38131;0
2023-03-15;00:03:11;797;62;266;3;38326;3;38131;0
2023-03-15;00:03:16;799;62;264;3;38327;3;38131;0
2023-03-15;00:03:21;799;62;264;3;38326;3;38131;0
2023-03-15;00:03:26;799;62;264;3;38327;3;38131;0
2023-03-15;00:03:31;799;62;264;3;38327;3;38131;0
2023-03-15;00:03:36;797;62;266;3;38326;3;38131;0
2023-03-15;00:03:41;799;62;264;3;38325;3;38131;0
2023-03-15;00:03:46;798;62;261;3;38326;3;38131;0
2023-03-15;00:03:51;799;62;264;3;38324;3;38131;0
2023-03-15;00:03:56;799;62;263;3;38323;3;38131;0
2023-03-15;00:04:01;799;62;263;3;38323;3;38131;0
2023-03-15;00:04:06;797;62;266;3;38326;3;38131;0
2023-03-15;00:04:11;799;62;263;3;38328;3;38131;0
2023-03-15;00:04:16;799;62;264;3;38327;3;38131;0
2023-03-15;00:04:21;799;62;264;3;38326;3;38131;0
2023-03-15;00:04:26;799;62;264;3;38327;3;38131;0
2023-03-15;00:04:31;799;62;263;3;38328;3;38131;0
2023-03-15;00:04:36;799;62;263;3;38328;3;38131;0
2023-03-15;00:04:41;799;62;263;3;38326;3;38131;0
2023-03-15;00:04:46;799;62;264;3;38323;3;38131;0
2023-03-15;00:04:51;799;62;263;3;38324;3;38131;0
2023-03-15;00:04:56;799;62;264;3;38325;3;38130;0
2023-03-15;00:05:01;797;62;266;3;38325;3;38130;0
2023-03-15;00:05:06;799;62;263;3;38327;3;38130;0
2023-03-15;00:05:11;799;62;263;3;38327;3;38130;0
2023-03-15;00:05:16;799;62;263;3;38327;3;38130;0
2023-03-15;00:05:21;799;62;263;3;38325;3;38130;0
2023-03-15;00:05:26;799;62;264;3;38326;3;38130;0
2023-03-15;00:05:31;798;62;266;3;38328;3;38130;0
2023-03-15;00:05:36;799;62;264;3;38329;3;38130;0
2023-03-15;00:05:41;799;62;263;3;38328;3;38131;0
2023-03-15;00:05:46;799;62;263;3;38328;3;38131;0
2023-03-15;00:05:51;799;62;264;3;38325;3;38131;0
2023-03-15;00:05:56;799;62;264;3;38323;3;38131;0
2023-03-15;00:06:01;799;62;264;3;38323;3;38130;0
2023-03-15;00:06:06;796;62;267;3;38325;3;38130;0
2023-03-15;00:06:11;799;62;264;3;38325;3;38130;0
2023-03-15;00:06:16;799;62;264;3;38323;3;38130;0
2023-03-15;00:06:21;799;62;264;3;38323;3;38130;0
2023-03-15;00:06:26;799;62;264;3;38324;3;38130;0
2023-03-15;00:06:31;798;62;266;3;38325;3;38130;0
2023-03-15;00:06:36;799;62;264;3;38326;3;38130;0
2023-03-15;00:06:41;799;62;264;3;38329;3;38130;0
2023-03-15;00:06:46;798;62;266;3;38328;3;38130;0
2023-03-15;00:06:51;799;62;264;3;38327;3;38130;0
2023-03-15;00:06:56;799;62;264;3;38327;3;38130;0
2023-03-15;00:07:01;797;62;267;3;38326;3;38130;0
2023-03-15;00:07:06;798;62;266;3;38327;3;38130;0
2023-03-15;00:07:11;799;62;264;3;38328;3;38130;0
2023-03-15;00:07:16;798;62;266;3;38326;3;38130;0
2023-03-15;00:07:21;797;62;267;3;38324;3;38130;0
2023-03-15;00:07:26;799;62;264;3;38324;3;38130;0
2023-03-15;00:07:31;799;62;264;3;38324;3;38130;0
2023-03-15;00:07:36;798;62;266;3;38323;3;38129;0
2023-03-15;00:07:41;799;62;264;3;38323;3;38129;0
2023-03-15;00:07:46;799;62;263;3;38324;3;38129;0
2023-03-15;00:07:51;799;62;264;3;38325;3;38129;0
2023-03-15;00:07:56;799;62;264;3;38325;3;38129;0
2023-03-15;00:08:01;799;62;264;3;38325;3;38129;0
2023-03-15;00:08:06;799;62;264;3;38325;3;38129;0
2023-03-15;00:08:11;798;62;266;3;38324;3;38129;0
2023-03-15;00:08:16;799;62;266;3;38323;3;38129;0
2023-03-15;00:08:21;799;62;266;3;38323;3;38129;0
2023-03-15;00:08:26;799;62;266;3;38324;3;38129;0
2023-03-15;00:08:31;799;62;264;3;38328;3;38129;0
2023-03-15;00:08:36;799;62;266;3;38326;3;38129;0
2023-03-15;00:08:41;799;62;266;3;38326;3;38129;0
2023-03-15;00:08:46;799;62;266;3;38325;3;38129;0
2023-03-15;00:08:51;799;62;264;3;38325;3;38129;0
2023-03-15;00:08:56;793;62;269;3;38325;3;38129;0
2023-03-15;00:09:01;799;62;266;3;38327;3;38128;0
2023-03-15;00:09:06;799;62;266;3;38327;3;38128;0
2023-03-15;00:09:11;799;62;266;3;38324;3;38128;0
2023-03-15;00:09:16;799;62;266;3;38324;3;38128;0
2023-03-15;00:09:21;799;62;263;3;38325;3;38128;0
2023-03-15;00:09:26;799;62;264;3;38327;3;38129;0
2023-03-15;00:09:31;799;62;266;3;38325;3;38129;0
2023-03-15;00:09:36;799;62;264;3;38323;3;38129;0
2023-03-15;00:09:41;798;62;267;3;38324;3;38129;0
2023-03-15;00:09:46;799;62;264;3;38325;3;38129;0
2023-03-15;00:09:51;799;62;264;3;38325;3;38129;0
2023-03-15;00:09:56;799;62;264;3;38324;3;38129;0
2023-03-15;00:10:01;799;62;266;3;38327;3;38129;0
2023-03-15;00:10:06;799;62;266;3;38329;3;38129;0
2023-03-15;00:10:11;799;62;264;3;38327;3;38129;0
2023-03-15;00:10:16;799;62;266;3;38327;3;38129;0
2023-03-15;00:10:21;799;62;266;3;38327;3;38129;0
2023-03-15;00:10:26;799;62;266;3;38328;3;38129;0
2023-03-15;00:10:31;799;62;264;3;38324;3;38129;0
2023-03-15;00:10:36;799;62;266;3;38323;3;38129;0
2023-03-15;00:10:41;799;62;263;3;38325;3;38129;0
2023-03-15;00:10:46;799;62;264;3;38325;3;38129;0
