Дата;Время;k_int_ref;с_weight;bridge_temp;tenzo_h;tenzo_l;LH;LL;free;temp;datetime;level;tenzo
21.03.2023;0:00:00;799;0;181;10;1052;10;824;33;1.81;21.03.2023 0:00;656184;656412
21.03.2023;0:00:05;799;0;181;10;1053;10;823;33;1.81;21.03.2023 0:00;656183;656413
21.03.2023;0:00:10;799;0;181;10;1054;10;823;33;1.81;21.03.2023 0:00;656183;656414
21.03.2023;0:00:15;799;0;181;10;1058;10;824;33;1.81;21.03.2023 0:00;656184;656418
21.03.2023;0:00:20;799;0;181;10;1058;10;824;33;1.81;21.03.2023 0:00;656184;656418
21.03.2023;0:00:25;799;0;181;10;1062;10;824;33;1.81;21.03.2023 0:00;656184;656422
21.03.2023;0:00:30;799;0;181;10;1057;10;824;33;1.81;21.03.2023 0:00;656184;656417
21.03.2023;0:00:35;799;0;181;10;1055;10;824;33;1.81;21.03.2023 0:00;656184;656415
21.03.2023;0:00:40;799;0;181;10;1058;10;824;33;1.81;21.03.2023 0:00;656184;656418
21.03.2023;0:00:45;799;0;181;10;1060;10;824;33;1.81;21.03.2023 0:00;656184;656420
21.03.2023;0:00:50;799;0;181;10;1059;10;824;33;1.81;21.03.2023 0:00;656184;656419
21.03.2023;0:00:55;799;0;181;10;1059;10;824;33;1.81;21.03.2023 0:00;656184;656419
21.03.2023;0:01:00;799;0;181;10;1058;10;824;33;1.81;21.03.2023 0:01;656184;656418
21.03.2023;0:01:05;799;0;181;10;1057;10;824;33;1.81;21.03.2023 0:01;656184;656417
21.03.2023;0:01:10;799;0;181;10;1055;10;824;33;1.81;21.03.2023 0:01;656184;656415
21.03.2023;0:01:15;799;0;181;10;1057;10;824;33;1.81;21.03.2023 0:01;656184;656417
21.03.2023;0:01:20;799;0;181;10;1056;10;824;33;1.81;21.03.2023 0:01;656184;656416
21.03.2023;0:01:25;799;0;181;10;1056;10;824;33;1.81;21.03.2023 0:01;656184;656416
21.03.2023;0:01:30;799;0;181;10;1054;10;824;33;1.81;21.03.2023 0:01;656184;656414
21.03.2023;0:01:35;799;0;181;10;1056;10;824;33;1.81;21.03.2023 0:01;656184;656416
21.03.2023;0:01:40;799;0;181;10;1059;10;824;33;1.81;21.03.2023 0:01;656184;656419
21.03.2023;0:01:45;799;0;181;10;1061;10;824;33;1.81;21.03.2023 0:01;656184;656421
21.03.2023;0:01:50;799;0;181;10;1060;10;825;33;1.81;21.03.2023 0:01;656185;656420
21.03.2023;0:01:55;799;0;181;10;1056;10;825;33;1.81;21.03.2023 0:01;656185;656416
21.03.2023;0:02:00;799;0;181;10;1056;10;825;33;1.81;21.03.2023 0:02;656185;656416
21.03.2023;0:02:05;799;0;181;10;1054;10;825;33;1.81;21.03.2023 0:02;656185;656414
21.03.2023;0:02:10;799;0;181;10;1054;10;825;33;1.81;21.03.2023 0:02;656185;656414
21.03.2023;0:02:15;799;0;181;10;1055;10;825;33;1.81;21.03.2023 0:02;656185;656415
21.03.2023;0:02:20;799;0;181;10;1057;10;824;33;1.81;21.03.2023 0:02;656184;656417
21.03.2023;0:02:25;799;0;181;10;1059;10;825;33;1.81;21.03.2023 0:02;656185;656419
21.03.2023;0:02:30;799;0;181;10;1062;10;825;33;1.81;21.03.2023 0:02;656185;656422
21.03.2023;0:02:35;799;0;181;10;1062;10;825;33;1.81;21.03.2023 0:02;656185;656422
21.03.2023;0:02:40;799;0;181;10;1062;10;825;33;1.81;21.03.2023 0:02;656185;656422
21.03.2023;0:02:45;799;0;181;10;1057;10;825;33;1.81;21.03.2023 0:02;656185;656417
21.03.2023;0:02:50;799;0;181;10;1052;10;825;33;1.81;21.03.2023 0:02;656185;656412
21.03.2023;0:02:55;799;0;181;10;1052;10;824;33;1.81;21.03.2023 0:02;656184;656412
21.03.2023;0:03:00;799;0;181;10;1058;10;824;33;1.81;21.03.2023 0:03;656184;656418
21.03.2023;0:03:05;799;0;181;10;1064;10;825;33;1.81;21.03.2023 0:03;656185;656424
21.03.2023;0:03:10;799;0;181;10;1064;10;825;33;1.81;21.03.2023 0:03;656185;656424
21.03.2023;0:03:15;799;0;181;10;1062;10;825;33;1.81;21.03.2023 0:03;656185;656422
21.03.2023;0:03:20;799;0;181;10;1058;10;825;33;1.81;21.03.2023 0:03;656185;656418
21.03.2023;0:03:25;799;0;181;10;1056;10;825;33;1.81;21.03.2023 0:03;656185;656416
21.03.2023;0:03:30;799;0;181;10;1055;10;825;33;1.81;21.03.2023 0:03;656185;656415
21.03.2023;0:03:35;799;0;181;10;1055;10;825;33;1.81;21.03.2023 0:03;656185;656415
21.03.2023;0:03:40;799;0;181;10;1055;10;825;33;1.81;21.03.2023 0:03;656185;656415
21.03.2023;0:03:45;799;0;181;10;1055;10;825;33;1.81;21.03.2023 0:03;656185;656415
21.03.2023;0:03:50;799;0;181;10;1059;10;825;33;1.81;21.03.2023 0:03;656185;656419
