Дата;Время;k_int_ref;с_weight;bridge_temp;tenzo_h;tenzo_l;LH;LL;free;temp;datetime;level;tenzo
17.03.2023;0:00:00;799;65;413;5;16595;5;16244;16;4.13;17.03.2023 0:00;343924;344275
17.03.2023;0:00:05;799;65;411;5;16592;5;16243;16;4.11;17.03.2023 0:00;343923;344272
17.03.2023;0:00:10;798;65;410;5;16595;5;16242;16;4.1;17.03.2023 0:00;343922;344275
17.03.2023;0:00:15;799;65;413;5;16603;5;16241;16;4.13;17.03.2023 0:00;343921;344283
17.03.2023;0:00:20;799;65;413;5;16603;5;16241;16;4.13;17.03.2023 0:00;343921;344283
17.03.2023;0:00:25;798;65;410;5;16609;5;16241;16;4.1;17.03.2023 0:00;343921;344289
17.03.2023;0:00:30;799;65;411;5;16614;5;16241;16;4.11;17.03.2023 0:00;343921;344294
17.03.2023;0:00:35;798;65;410;5;16617;5;16241;16;4.1;17.03.2023 0:00;343921;344297
17.03.2023;0:00:40;799;65;411;5;16620;5;16241;16;4.11;17.03.2023 0:00;343921;344300
17.03.2023;0:00:45;799;65;413;5;16622;5;16242;16;4.13;17.03.2023 0:00;343922;344302
17.03.2023;0:00:50;799;65;413;5;16619;5;16242;16;4.13;17.03.2023 0:00;343922;344299
17.03.2023;0:00:55;799;65;413;5;16619;5;16242;16;4.13;17.03.2023 0:00;343922;344299
17.03.2023;0:01:00;798;65;410;5;16615;5;16243;16;4.1;17.03.2023 0:01;343923;344295
17.03.2023;0:01:05;799;65;414;5;16613;5;16244;16;4.14;17.03.2023 0:01;343924;344293
17.03.2023;0:01:10;798;65;410;5;16611;5;16244;16;4.1;17.03.2023 0:01;343924;344291
17.03.2023;0:01:15;799;65;411;5;16609;5;16245;16;4.11;17.03.2023 0:01;343925;344289
17.03.2023;0:01:20;799;65;411;5;16607;5;16245;16;4.11;17.03.2023 0:01;343925;344287
17.03.2023;0:01:25;799;65;413;5;16605;5;16245;16;4.13;17.03.2023 0:01;343925;344285
17.03.2023;0:01:30;799;65;413;5;16605;5;16245;16;4.13;17.03.2023 0:01;343925;344285
17.03.2023;0:01:35;799;65;411;5;16607;5;16246;16;4.11;17.03.2023 0:01;343926;344287
17.03.2023;0:01:40;795;65;408;5;16611;5;16247;16;4.08;17.03.2023 0:01;343927;344291
17.03.2023;0:01:45;799;65;413;5;16609;5;16247;16;4.13;17.03.2023 0:01;343927;344289
17.03.2023;0:01:50;799;65;411;5;16606;5;16248;16;4.11;17.03.2023 0:01;343928;344286
17.03.2023;0:01:55;799;65;411;5;16605;5;16248;16;4.11;17.03.2023 0:01;343928;344285
17.03.2023;0:02:00;799;65;411;5;16607;5;16249;16;4.11;17.03.2023 0:02;343929;344287
17.03.2023;0:02:05;799;65;411;5;16607;5;16249;16;4.11;17.03.2023 0:02;343929;344287
17.03.2023;0:02:10;798;65;410;5;16615;5;16250;16;4.1;17.03.2023 0:02;343930;344295
17.03.2023;0:02:15;799;65;411;5;16617;5;16251;16;4.11;17.03.2023 0:02;343931;344297
17.03.2023;0:02:20;798;65;410;5;16614;5;16251;16;4.1;17.03.2023 0:02;343931;344294
17.03.2023;0:02:25;799;65;413;5;16613;5;16251;16;4.13;17.03.2023 0:02;343931;344293
17.03.2023;0:02:30;799;65;411;5;16608;5;16251;16;4.11;17.03.2023 0:02;343931;344288
17.03.2023;0:02:35;799;65;411;5;16608;5;16251;16;4.11;17.03.2023 0:02;343931;344288
17.03.2023;0:02:40;798;65;414;5;16605;5;16250;16;4.14;17.03.2023 0:02;343930;344285
17.03.2023;0:02:45;799;65;411;5;16605;5;16249;16;4.11;17.03.2023 0:02;343929;344285
17.03.2023;0:02:50;798;65;410;5;16609;5;16249;16;4.1;17.03.2023 0:02;343929;344289
17.03.2023;0:02:55;799;65;411;5;16614;5;16249;16;4.11;17.03.2023 0:02;343929;344294
17.03.2023;0:03:00;799;65;410;5;16616;5;16249;16;4.1;17.03.2023 0:03;343929;344296
17.03.2023;0:03:05;799;65;411;5;16614;5;16249;16;4.11;17.03.2023 0:03;343929;344294
17.03.2023;0:03:10;799;65;410;5;16613;5;16249;16;4.1;17.03.2023 0:03;343929;344293
17.03.2023;0:03:15;799;65;410;5;16613;5;16249;16;4.1;17.03.2023 0:03;343929;344293
17.03.2023;0:03:20;799;65;411;5;16614;5;16249;16;4.11;17.03.2023 0:03;343929;344294
17.03.2023;0:03:25;799;65;411;5;16611;5;16250;16;4.11;17.03.2023 0:03;343930;344291
17.03.2023;0:03:30;799;65;410;5;16607;5;16250;16;4.1;17.03.2023 0:03;343930;344287
