Дата;Время;k_int_ref;с_weight;bridge_temp;tenzo_h;tenzo_l;LH;LL;free;temp;datetime;level;tenzo
22.03.2023;0:00:00;798;0;525;8;24051;8;23460;4;5.25;22.03.2023 0:00;547748;548339
22.03.2023;0:00:05;798;0;525;8;24051;8;23460;4;5.25;22.03.2023 0:00;547748;548339
22.03.2023;0:00:10;798;0;525;8;24051;8;23460;4;5.25;22.03.2023 0:00;547748;548339
22.03.2023;0:00:15;798;0;525;8;24054;8;23460;4;5.25;22.03.2023 0:00;547748;548342
22.03.2023;0:00:20;798;0;525;8;24055;8;23460;4;5.25;22.03.2023 0:00;547748;548343
22.03.2023;0:00:25;798;0;525;8;24054;8;23460;4;5.25;22.03.2023 0:00;547748;548342
22.03.2023;0:00:30;798;0;525;8;24053;8;23460;4;5.25;22.03.2023 0:00;547748;548341
22.03.2023;0:00:35;798;0;525;8;24054;8;23460;4;5.25;22.03.2023 0:00;547748;548342
22.03.2023;0:00:40;798;0;525;8;24055;8;23460;4;5.25;22.03.2023 0:00;547748;548343
22.03.2023;0:00:45;798;0;525;8;24055;8;23460;4;5.25;22.03.2023 0:00;547748;548343
22.03.2023;0:00:50;798;0;525;8;24056;8;23461;4;5.25;22.03.2023 0:00;547749;548344
22.03.2023;0:00:55;798;0;525;8;24056;8;23461;4;5.25;22.03.2023 0:00;547749;548344
22.03.2023;0:01:00;798;0;525;8;24057;8;23461;4;5.25;22.03.2023 0:01;547749;548345
22.03.2023;0:01:05;799;0;525;8;24057;8;23462;4;5.25;22.03.2023 0:01;547750;548345
22.03.2023;0:01:10;799;0;525;8;24051;8;23461;4;5.25;22.03.2023 0:01;547749;548339
22.03.2023;0:01:15;799;0;525;8;24051;8;23461;4;5.25;22.03.2023 0:01;547749;548339
22.03.2023;0:01:20;799;0;525;8;24051;8;23461;4;5.25;22.03.2023 0:01;547749;548339
22.03.2023;0:01:25;799;0;525;8;24053;8;23461;4;5.25;22.03.2023 0:01;547749;548341
22.03.2023;0:01:30;799;0;525;8;24054;8;23461;4;5.25;22.03.2023 0:01;547749;548342
22.03.2023;0:01:35;799;0;525;8;24054;8;23461;4;5.25;22.03.2023 0:01;547749;548342
22.03.2023;0:01:40;799;0;525;8;24054;8;23461;4;5.25;22.03.2023 0:01;547749;548342
22.03.2023;0:01:45;799;0;525;8;24054;8;23461;4;5.25;22.03.2023 0:01;547749;548342
22.03.2023;0:01:50;799;0;525;8;24053;8;23461;4;5.25;22.03.2023 0:01;547749;548341
22.03.2023;0:01:55;799;0;525;8;24053;8;23461;4;5.25;22.03.2023 0:01;547749;548341
22.03.2023;0:02:00;799;0;525;8;24054;8;23462;4;5.25;22.03.2023 0:02;547750;548342
22.03.2023;0:02:05;799;0;525;8;24054;8;23462;4;5.25;22.03.2023 0:02;547750;548342
22.03.2023;0:02:10;799;0;525;8;24054;8;23462;4;5.25;22.03.2023 0:02;547750;548342
22.03.2023;0:02:15;799;0;525;8;24054;8;23462;4;5.25;22.03.2023 0:02;547750;548342
22.03.2023;0:02:20;799;0;525;8;24053;8;23462;4;5.25;22.03.2023 0:02;547750;548341
22.03.2023;0:02:25;799;0;525;8;24056;8;23462;4;5.25;22.03.2023 0:02;547750;548344
22.03.2023;0:02:30;799;0;525;8;24056;8;23462;4;5.25;22.03.2023 0:02;547750;548344
22.03.2023;0:02:35;799;0;525;8;24057;8;23462;4;5.25;22.03.2023 0:02;547750;548345
22.03.2023;0:02:40;799;0;525;8;24056;8;23462;4;5.25;22.03.2023 0:02;547750;548344
22.03.2023;0:02:45;799;0;525;8;24055;8;23462;4;5.25;22.03.2023 0:02;547750;548343
22.03.2023;0:02:50;799;0;525;8;24053;8;23462;4;5.25;22.03.2023 0:02;547750;548341
22.03.2023;0:02:55;799;0;525;8;24053;8;23462;4;5.25;22.03.2023 0:02;547750;548341
22.03.2023;0:03:00;799;0;525;8;24053;8;23462;4;5.25;22.03.2023 0:03;547750;548341
22.03.2023;0:03:05;799;0;525;8;24051;8;23462;4;5.25;22.03.2023 0:03;547750;548339
22.03.2023;0:03:10;799;0;525;8;24054;8;23462;4;5.25;22.03.2023 0:03;547750;548342
22.03.2023;0:03:15;799;0;525;8;24057;8;23462;4;5.25;22.03.2023 0:03;547750;548345
22.03.2023;0:03:20;799;0;525;8;24057;8;23462;4;5.25;22.03.2023 0:03;547750;548345
22.03.2023;0:03:25;798;0;524;8;24055;8;23463;4;5.24;22.03.2023 0:03;547751;548343
22.03.2023;0:03:30;799;0;524;8;24053;8;23463;4;5.24;22.03.2023 0:03;547751;548341
22.03.2023;0:03:35;799;0;524;8;24053;8;23463;4;5.24;22.03.2023 0:03;547751;548341
22.03.2023;0:03:40;799;0;524;8;24053;8;23463;4;5.24;22.03.2023 0:03;547751;548341
22.03.2023;0:03:45;799;0;524;8;24052;8;23462;4;5.24;22.03.2023 0:03;547750;548340
22.03.2023;0:03:50;799;0;524;8;24053;8;23463;4;5.24;22.03.2023 0:03;547751;548341
22.03.2023;0:03:55;799;0;524;8;24057;8;23463;4;5.24;22.03.2023 0:03;547751;548345
