OWENArchiver
Дата;Время;k_int_ref;с_weight;bridge_temp;tenzo_h;tenzo_l;LH;LL;free
2023-03-22;00:00:00;798;0;525;8;24051;8;23460;4
2023-03-22;00:00:05;798;0;525;8;24051;8;23460;4
2023-03-22;00:00:10;798;0;525;8;24051;8;23460;4
2023-03-22;00:00:15;798;0;525;8;24054;8;23460;4
2023-03-22;00:00:20;798;0;525;8;24055;8;23460;4
2023-03-22;00:00:25;798;0;525;8;24054;8;23460;4
2023-03-22;00:00:30;798;0;525;8;24053;8;23460;4
2023-03-22;00:00:35;798;0;525;8;24054;8;23460;4
2023-03-22;00:00:40;798;0;525;8;24055;8;23460;4
2023-03-22;00:00:45;798;0;525;8;24055;8;23460;4
2023-03-22;00:00:50;798;0;525;8;24056;8;23461;4
2023-03-22;00:00:55;798;0;525;8;24056;8;23461;4
2023-03-22;00:01:00;798;0;525;8;24057;8;23461;4
2023-03-22;00:01:05;799;0;525;8;24057;8;23462;4
2023-03-22;00:01:10;799;0;525;8;24051;8;23461;4
2023-03-22;00:01:15;799;0;525;8;24051;8;23461;4
2023-03-22;00:01:20;799;0;525;8;24051;8;23461;4
2023-03-22;00:01:25;799;0;525;8;24053;8;23461;4
2023-03-22;00:01:30;799;0;525;8;24054;8;23461;4
2023-03-22;00:01:35;799;0;525;8;24054;8;23461;4
2023-03-22;00:01:40;799;0;525;8;24054;8;23461;4
2023-03-22;00:01:45;799;0;525;8;24054;8;23461;4
2023-03-22;00:01:50;799;0;525;8;24053;8;23461;4
2023-03-22;00:01:55;799;0;525;8;24053;8;23461;4
2023-03-22;00:02:00;799;0;525;8;24054;8;23462;4
2023-03-22;00:02:05;799;0;525;8;24054;8;23462;4
2023-03-22;00:02:10;799;0;525;8;24054;8;23462;4
2023-03-22;00:02:15;799;0;525;8;24054;8;23462;4
2023-03-22;00:02:20;799;0;525;8;24053;8;23462;4
2023-03-22;00:02:25;799;0;525;8;24056;8;23462;4
2023-03-22;00:02:30;799;0;525;8;24056;8;23462;4
2023-03-22;00:02:35;799;0;525;8;24057;8;23462;4
2023-03-22;00:02:40;799;0;525;8;24056;8;23462;4
2023-03-22;00:02:45;799;0;525;8;24055;8;23462;4
2023-03-22;00:02:50;799;0;525;8;24053;8;23462;4
2023-03-22;00:02:55;799;0;525;8;24053;8;23462;4
2023-03-22;00:03:00;799;0;525;8;24053;8;23462;4
2023-03-22;00:03:05;799;0;525;8;24051;8;23462;4
2023-03-22;00:03:10;799;0;525;8;24054;8;23462;4
2023-03-22;00:03:15;799;0;525;8;24057;8;23462;4
2023-03-22;00:03:20;799;0;525;8;24057;8;23462;4
2023-03-22;00:03:25;798;0;524;8;24055;8;23463;4
2023-03-22;00:03:30;799;0;524;8;24053;8;23463;4
2023-03-22;00:03:35;799;0;524;8;24053;8;23463;4
2023-03-22;00:03:40;799;0;524;8;24053;8;23463;4
2023-03-22;00:03:45;799;0;524;8;24052;8;23462;4
2023-03-22;00:03:50;799;0;524;8;24053;8;23463;4
2023-03-22;00:03:55;799;0;524;8;24057;8;23463;4
2023-03-22;00:04:00;799;0;524;8;24059;8;23463;4
2023-03-22;00:04:05;799;0;524;8;24058;8;23463;4
2023-03-22;00:04:10;799;0;524;8;24058;8;23463;4
2023-03-22;00:04:15;799;0;524;8;24056;8;23463;4
2023-03-22;00:04:20;799;0;524;8;24053;8;23463;4
2023-03-22;00:04:25;799;0;524;8;24051;8;23463;4
2023-03-22;00:04:30;799;0;524;8;24048;8;23463;4
2023-03-22;00:04:35;799;0;524;8;24052;8;23463;4
2023-03-22;00:04:40;799;0;524;8;24058;8;23463;4
2023-03-22;00:04:45;799;0;524;8;24058;8;23463;4
2023-03-22;00:04:50;799;0;524;8;24059;8;23463;4
2023-03-22;00:04:55;799;0;524;8;24058;8;23464;4
2023-03-22;00:05:00;799;0;524;8;24054;8;23464;4
2023-03-22;00:05:05;799;0;524;8;24052;8;23464;4
2023-03-22;00:05:10;799;0;524;8;24050;8;23463;4
2023-03-22;00:05:15;799;0;524;8;24050;8;23463;4
2023-03-22;00:05:20;799;0;524;8;24052;8;23463;4
2023-03-22;00:05:25;799;0;524;8;24059;8;23463;4
2023-03-22;00:05:30;799;0;524;8;24060;8;23464;4
2023-03-22;00:05:35;799;0;524;8;24053;8;23464;4
2023-03-22;00:05:40;799;0;524;8;24050;8;23464;4
