Datetime, Temp, K_int, tenzo, level, oporn_level, quotes, rain 
2023-03-23 00:00:06,2.55,797,829720,829335,829324,1,0.5
2023-03-23 00:00:12,2.53,794,829719,829335,829324,1,0.5
2023-03-23 00:00:17,2.54,796,829721,829335,829324,1,0.5
2023-03-23 00:00:23,2.56,799,829719,829335,829324,1,0.5
2023-03-23 00:00:29,2.55,798,829719,829335,829324,1,0.5
2023-03-23 00:00:35,2.55,798,829717,829335,829324,1,0.5
2023-03-23 00:00:41,2.54,797,829716,829335,829324,1,0.5
2023-03-23 00:00:47,2.56,799,829720,829335,829324,1,0.5
2023-03-23 00:00:52,2.55,799,829723,829335,829324,1,0.5
2023-03-23 00:00:58,2.54,797,829721,829335,829324,1,0.5
2023-03-23 00:01:04,2.53,796,829719,829336,829324,1,0.5
2023-03-23 00:01:10,2.53,796,829721,829336,829324,1,0.5
2023-03-23 00:01:16,2.53,796,829722,829336,829324,1,0.5
2023-03-23 00:01:22,2.55,799,829722,829336,829324,1,0.5
2023-03-23 00:01:28,2.55,799,829720,829336,829324,1,0.5
2023-03-23 00:01:33,2.53,797,829719,829337,829324,1,0.5
2023-03-23 00:01:39,2.55,799,829721,829337,829324,1,0.5
2023-03-23 00:01:45,2.52,793,829722,829337,829324,1,0.5
2023-03-23 00:01:51,2.55,799,829721,829337,829324,1,0.5
2023-03-23 00:01:57,2.55,799,829720,829337,829324,1,0.5
2023-03-23 00:02:03,2.51,792,829720,829337,829324,1,0.5
2023-03-23 00:02:09,2.53,797,829721,829337,829324,1,0.5
2023-03-23 00:02:14,2.54,798,829722,829337,829324,1,0.5
2023-03-23 00:02:20,2.53,798,829723,829338,829324,1,0.5
2023-03-23 00:02:26,2.55,799,829722,829338,829324,1,0.5
2023-03-23 00:02:32,2.52,795,829720,829338,829324,1,0.5
2023-03-23 00:02:38,2.54,799,829722,829339,829324,1,0.5
2023-03-23 00:02:44,2.53,798,829723,829339,829324,1,0.5
2023-03-23 00:02:49,2.52,795,829721,829339,829324,1,0.5
2023-03-23 00:02:55,2.53,798,829721,829339,829324,1,0.5
