Datetime, Temp, K_int, tenzo, level, oporn_level, quotes, rain 
2023-03-24 00:00:05,5.98,798,821371,820493,820505,0,0.6
2023-03-24 00:00:11,5.98,798,821370,820493,820505,0,0.6
2023-03-24 00:00:17,5.98,798,821372,820493,820505,0,0.6
2023-03-24 00:00:23,5.98,798,821370,820493,820505,0,0.6
2023-03-24 00:00:29,5.98,798,821367,820493,820505,0,0.6
2023-03-24 00:00:35,5.98,799,821366,820492,820505,0,0.6
2023-03-24 00:00:40,5.98,799,821367,820492,820505,0,0.6
2023-03-24 00:00:46,5.98,799,821368,820492,820505,0,0.6
2023-03-24 00:00:52,5.98,799,821369,820492,820505,0,0.6
2023-03-24 00:00:58,5.98,799,821371,820492,820505,0,0.6
2023-03-24 00:01:04,5.98,799,821371,820492,820505,0,0.6
2023-03-24 00:01:10,5.98,799,821371,820492,820505,0,0.6
2023-03-24 00:01:16,5.97,798,821372,820492,820505,0,0.6
2023-03-24 00:01:21,5.98,799,821371,820493,820505,0,0.6
2023-03-24 00:01:27,5.98,799,821370,820493,820505,0,0.6
2023-03-24 00:01:33,5.98,799,821372,820493,820505,0,0.6
2023-03-24 00:01:39,5.97,798,821371,820493,820505,0,0.6
2023-03-24 00:01:45,5.99,799,821368,820493,820505,0,0.6
2023-03-24 00:01:51,5.98,799,821369,820493,820505,0,0.6
2023-03-24 00:01:57,5.99,799,821371,820493,820505,0,0.6
2023-03-24 00:02:02,5.98,799,821370,820493,820505,0,0.6
2023-03-24 00:02:08,5.97,798,821369,820493,820505,0,0.6
2023-03-24 00:02:14,5.98,799,821368,820493,820505,0,0.6
2023-03-24 00:02:20,5.97,798,821369,820493,820505,0,0.6
2023-03-24 00:02:26,5.98,799,821368,820493,820505,0,0.6
2023-03-24 00:02:32,5.98,799,821369,820493,820505,0,0.6
2023-03-24 00:02:37,5.98,799,821371,820494,820505,0,0.6
2023-03-24 00:02:43,5.98,799,821369,820494,820505,0,0.6
2023-03-24 00:02:49,5.97,798,821368,820494,820505,0,0.6
2023-03-24 00:02:55,5.97,798,821368,820494,820505,0,0.6
2023-03-24 00:03:01,5.98,799,821367,820494,820505,0,0.6
2023-03-24 00:03:07,5.96,798,821369,820494,820505,0,0.6
2023-03-24 00:03:13,5.95,796,821368,820493,820505,0,0.6
2023-03-24 00:03:18,5.96,798,821366,820493,820505,0,0.6
2023-03-24 00:03:24,5.96,798,821366,820493,820505,0,0.6
2023-03-24 00:03:30,5.98,799,821368,820493,820505,0,0.6
2023-03-24 00:03:36,5.99,799,821369,820493,820505,0,0.6
2023-03-24 00:03:42,5.97,799,821367,820493,820505,0,0.6
2023-03-24 00:03:48,5.95,797,821366,820493,820505,0,0.6
2023-03-24 00:03:53,5.97,799,821366,820493,820505,0,0.6
2023-03-24 00:03:59,5.98,799,821368,820493,820505,0,0.6
2023-03-24 00:04:05,5.98,799,821368,820493,820505,0,0.6
2023-03-24 00:04:11,5.95,796,821367,820493,820505,0,0.6
2023-03-24 00:04:17,5.95,797,821367,820493,820505,0,0.6
2023-03-24 00:04:23,5.96,798,821368,820493,820505,0,0.6
2023-03-24 00:04:29,5.97,799,821367,820493,820505,0,0.6
2023-03-24 00:04:34,5.95,798,821368,820493,820505,0,0.6
2023-03-24 00:04:40,5.96,799,821368,820493,820505,0,0.6
2023-03-24 00:04:46,5.95,798,821371,820493,820505,0,0.6
2023-03-24 00:04:52,5.96,799,821372,820493,820505,0,0.6
2023-03-24 00:04:58,5.95,797,821369,820493,820505,0,0.6
2023-03-24 00:05:04,5.95,798,821366,820493,820505,0,0.6
2023-03-24 00:05:09,5.96,799,821369,820493,820505,0,0.6
2023-03-24 00:05:15,5.97,799,821371,820494,820505,0,0.6
2023-03-24 00:05:21,5.95,798,821368,820494,820505,0,0.6
2023-03-24 00:05:27,5.96,799,821368,820494,820505,0,0.6
2023-03-24 00:05:33,5.98,799,821369,820494,820505,0,0.6
2023-03-24 00:05:39,5.98,799,821370,820494,820505,0,0.6
2023-03-24 00:05:45,5.96,799,821368,820494,820505,0,0.6
2023-03-24 00:05:50,5.95,797,821366,820494,820505,0,0.6
2023-03-24 00:05:56,5.98,799,821366,820494,820505,0,0.6
2023-03-24 00:06:02,5.95,798,821364,820494,820505,0,0.6
2023-03-24 00:06:08,5.97,799,821366,820494,820505,0,0.6
2023-03-24 00:06:14,5.96,799,821368,820494,820505,0,0.6
2023-03-24 00:06:20,5.97,799,821368,820494,820505,0,0.6
2023-03-24 00:06:26,5.95,798,821367,820494,820505,0,0.6
2023-03-24 00:06:31,5.95,798,821367,820494,820505,0,0.6
2023-03-24 00:06:37,5.94,796,821369,820495,820505,0,0.6
2023-03-24 00:06:43,5.93,795,821372,820495,820505,0,0.6
2023-03-24 00:06:49,5.95,799,821370,820495,820505,0,0.6
2023-03-24 00:06:55,5.95,798,821368,820495,820505,0,0.6
2023-03-24 00:07:01,5.95,799,821367,820495,820505,0,0.6
2023-03-24 00:07:06,5.96,799,821366,820495,820505,0,0.6
2023-03-24 00:07:12,5.95,799,821366,820495,820505,0,0.6
2023-03-24 00:07:18,5.95,799,821368,820495,820505,0,0.6
2023-03-24 00:07:24,5.94,797,821370,820495,820505,0,0.6
2023-03-24 00:07:30,5.95,799,821367,820495,820505,0,0.6
2023-03-24 00:07:36,5.95,799,821366,820495,820505,0,0.6
2023-03-24 00:07:42,5.95,798,821370,820495,820505,0,0.6
2023-03-24 00:07:47,5.95,799,821370,820495,820505,0,0.6
2023-03-24 00:07:53,5.95,799,821369,820495,820505,0,0.6
2023-03-24 00:07:59,5.95,799,821369,820496,820505,0,0.6
2023-03-24 00:08:05,5.95,799,821369,820496,820505,0,0.6
2023-03-24 00:08:11,5.95,799,821367,820496,820505,0,0.6
2023-03-24 00:08:17,5.96,799,821367,820496,820505,0,0.6
2023-03-24 00:08:22,5.95,799,821368,820496,820505,0,0.6
2023-03-24 00:08:28,5.96,799,821369,820496,820505,0,0.6
2023-03-24 00:08:34,5.94,798,821371,820496,820505,0,0.6
2023-03-24 00:08:40,5.94,798,821369,820496,820505,0,0.6
2023-03-24 00:08:46,5.95,799,821365,820496,820505,0,0.6
2023-03-24 00:08:52,5.97,799,821366,820496,820505,0,0.6
2023-03-24 00:08:58,5.96,799,821366,820496,820505,0,0.6
2023-03-24 00:09:03,5.93,797,821367,820496,820505,0,0.6
2023-03-24 00:09:09,5.95,799,821368,820496,820505,0,0.6
2023-03-24 00:09:15,5.95,799,821368,820496,820505,0,0.6
2023-03-24 00:09:21,5.95,799,821368,820496,820505,0,0.6
2023-03-24 00:09:27,5.94,798,821368,820496,820505,0,0.6
2023-03-24 00:09:33,5.95,799,821367,820496,820505,0,0.6
2023-03-24 00:09:38,5.94,798,821367,820496,820504,0,0.6
2023-03-24 00:09:44,5.95,799,821366,820496,820504,0,0.6
2023-03-24 00:09:50,5.95,799,821369,820496,820504,0,0.6
2023-03-24 00:09:56,5.95,799,821371,820496,820504,0,0.6
2023-03-24 00:10:02,5.96,799,821366,820496,820504,0,0.6
2023-03-24 00:10:08,5.94,798,821364,820496,820504,0,0.6
2023-03-24 00:10:14,5.91,795,821366,820496,820504,0,0.6
2023-03-24 00:10:19,5.95,799,821366,820496,820504,0,0.6
2023-03-24 00:10:25,5.95,799,821366,820496,820504,0,0.6
2023-03-24 00:10:31,5.95,799,821366,820496,820504,0,0.6
2023-03-24 00:10:37,5.94,799,821367,820496,820504,0,0.6
2023-03-24 00:10:43,5.95,799,821368,820496,820504,0,0.6
2023-03-24 00:10:49,5.95,799,821367,820496,820504,0,0.6
2023-03-24 00:10:55,5.95,799,821368,820496,820504,0,0.6
2023-03-24 00:11:00,5.93,798,821368,820496,820504,0,0.6
2023-03-24 00:11:06,5.94,799,821369,820496,820504,0,0.6
2023-03-24 00:11:12,5.93,798,821370,820496,820504,0,0.6
2023-03-24 00:11:18,5.94,799,821368,820496,820504,0,0.6
2023-03-24 00:11:24,5.93,798,821366,820496,820504,0,0.6
2023-03-24 00:11:30,5.94,799,821365,820496,820504,0,0.6
2023-03-24 00:11:35,5.95,799,821366,820496,820504,0,0.6
2023-03-24 00:11:41,5.95,799,821366,820496,820504,0,0.6
2023-03-24 00:11:47,5.95,799,821367,820496,820504,0,0.6
2023-03-24 00:11:53,5.94,799,821367,820496,820504,0,0.6
2023-03-24 00:11:59,5.94,799,821367,820496,820504,0,0.6
2023-03-24 00:12:05,5.91,796,821366,820496,820504,0,0.6
2023-03-24 00:12:11,5.93,799,821365,820496,820504,0,0.6
2023-03-24 00:12:16,5.95,799,821365,820496,820504,0,0.6
2023-03-24 00:12:22,5.93,799,821365,820496,820504,0,0.6
2023-03-24 00:12:28,5.93,799,821367,820497,820504,0,0.6
2023-03-24 00:12:34,5.94,799,821364,820496,820504,0,0.6
2023-03-24 00:12:40,5.91,797,821362,820496,820504,0,0.6
2023-03-24 00:12:46,5.93,799,821365,820496,820504,0,0.6
2023-03-24 00:12:51,5.93,799,821365,820496,820504,0,0.6
2023-03-24 00:12:57,5.90,793,821363,820496,820504,0,0.6
2023-03-24 00:13:03,5.91,796,821364,820496,820504,0,0.6
2023-03-24 00:13:09,5.91,797,821368,820496,820504,0,0.6
2023-03-24 00:13:15,5.95,799,821368,820496,820504,0,0.6
2023-03-24 00:13:21,5.94,799,821366,820496,820504,0,0.6
2023-03-24 00:13:27,5.93,799,821366,820496,820504,0,0.6
2023-03-24 00:13:32,5.93,799,821365,820496,820504,0,0.6
2023-03-24 00:13:38,5.93,799,821366,820496,820504,0,0.6
2023-03-24 00:13:44,5.94,799,821366,820496,820504,0,0.6
2023-03-24 00:13:50,5.91,798,821365,820496,820504,0,0.6
2023-03-24 00:13:56,5.94,799,821366,820496,820504,0,0.6
2023-03-24 00:14:02,5.93,799,821366,820496,820504,0,0.6
2023-03-24 00:14:07,5.91,796,821367,820496,820504,0,0.6
2023-03-24 00:14:13,5.93,799,821366,820496,820504,0,0.6
2023-03-24 00:14:19,5.91,798,821365,820496,820504,0,0.6
2023-03-24 00:14:25,5.91,797,821365,820497,820504,0,0.6
2023-03-24 00:14:31,5.91,797,821366,820497,820504,0,0.6
2023-03-24 00:14:37,5.94,799,821367,820497,820504,0,0.6
2023-03-24 00:14:43,5.91,797,821367,820497,820504,0,0.6
2023-03-24 00:14:48,5.95,799,821369,820497,820504,0,0.6
2023-03-24 00:14:54,5.94,799,821368,820498,820504,0,0.6
2023-03-24 00:15:00,5.89,794,821365,820498,820504,0,0.6
2023-03-24 00:15:06,5.91,797,821364,820498,820504,0,0.6
2023-03-24 00:15:12,5.91,798,821364,820498,820504,0,0.6
2023-03-24 00:15:18,5.91,799,821364,820498,820504,0,0.6
2023-03-24 00:15:24,5.90,796,821365,820498,820504,0,0.6
2023-03-24 00:15:29,5.91,798,821364,820498,820504,0,0.6
2023-03-24 00:15:35,5.90,797,821365,820498,820504,0,0.6
2023-03-24 00:15:41,5.91,799,821365,820498,820504,0,0.6
2023-03-24 00:15:47,5.88,793,821362,820498,820504,0,0.6
2023-03-24 00:15:53,5.91,799,821359,820498,820504,0,0.6
2023-03-24 00:15:59,5.91,799,821360,820497,820504,0,0.6
2023-03-24 00:16:04,5.91,798,821363,820497,820504,0,0.6
2023-03-24 00:16:10,5.89,796,821365,820497,820504,0,0.6
2023-03-24 00:16:16,5.93,799,821364,820497,820504,0,0.6
2023-03-24 00:16:22,5.90,797,821362,820497,820504,0,0.6
2023-03-24 00:16:28,5.91,799,821362,820497,820504,0,0.6
2023-03-24 00:16:34,5.89,796,821364,820497,820504,0,0.6
2023-03-24 00:16:40,5.91,799,821366,820497,820504,0,0.6
2023-03-24 00:16:45,5.91,799,821366,820497,820504,0,0.6
2023-03-24 00:16:51,5.90,798,821367,820497,820504,0,0.6
2023-03-24 00:16:57,5.93,799,821364,820497,820504,0,0.6
2023-03-24 00:17:03,5.91,799,821364,820497,820504,0,0.6
2023-03-24 00:17:09,5.89,797,821365,820497,820504,0,0.6
2023-03-24 00:17:15,5.93,799,821367,820497,820504,0,0.6
2023-03-24 00:17:20,5.91,799,821366,820497,820504,0,0.6
2023-03-24 00:17:26,5.91,799,821364,820497,820504,0,0.6
2023-03-24 00:17:32,5.88,795,821364,820497,820504,0,0.6
2023-03-24 00:17:38,5.91,799,821364,820497,820504,0,0.6
2023-03-24 00:17:44,5.90,798,821364,820498,820504,0,0.6
2023-03-24 00:17:50,5.91,799,821363,820498,820504,0,0.6
2023-03-24 00:17:56,5.91,799,821361,820498,820504,0,0.6
2023-03-24 00:18:01,5.91,799,821361,820498,820504,0,0.6
2023-03-24 00:18:07,5.90,798,821361,820498,820504,0,0.6
2023-03-24 00:18:13,5.91,799,821362,820498,820504,0,0.6
2023-03-24 00:18:19,5.89,798,821365,820498,820504,0,0.6
2023-03-24 00:18:25,5.91,799,821365,820498,820504,0,0.6
2023-03-24 00:18:31,5.91,799,821366,820498,820504,0,0.6
2023-03-24 00:18:36,5.91,799,821367,820498,820504,0,0.6
2023-03-24 00:18:42,5.90,799,821364,820498,820504,0,0.6
2023-03-24 00:18:48,5.88,797,821360,820498,820504,0,0.6
2023-03-24 00:18:54,5.90,799,821359,820498,820504,0,0.6
2023-03-24 00:19:00,5.91,799,821359,820498,820504,0,0.6
2023-03-24 00:19:06,5.90,799,821360,820498,820504,0,0.6
2023-03-24 00:19:12,5.89,798,821363,820497,820504,0,0.6
2023-03-24 00:19:17,5.91,799,821362,820497,820504,0,0.6
2023-03-24 00:19:23,5.89,798,821360,820497,820504,0,0.6
2023-03-24 00:19:29,5.91,799,821362,820497,820504,0,0.6
2023-03-24 00:19:35,5.90,799,821363,820497,820504,0,0.6
2023-03-24 00:19:41,5.89,798,821362,820497,820504,0,0.6
2023-03-24 00:19:47,5.88,797,821360,820497,820504,0,0.6
2023-03-24 00:19:53,5.88,796,821363,820497,820504,0,0.6
2023-03-24 00:19:58,5.90,799,821365,820497,820504,0,0.6
2023-03-24 00:20:04,5.93,798,821364,820498,820504,0,0.6
2023-03-24 00:20:10,5.88,798,821361,820498,820504,0,0.6
2023-03-24 00:20:16,5.90,799,821361,820497,820504,0,0.6
2023-03-24 00:20:22,5.90,799,821364,820497,820504,0,0.6
2023-03-24 00:20:28,5.90,799,821363,820497,820504,0,0.6
2023-03-24 00:20:33,5.87,795,821362,820497,820504,0,0.6
2023-03-24 00:20:39,5.88,797,821360,820497,820504,0,0.6
2023-03-24 00:20:45,5.90,799,821359,820497,820504,0,0.6
2023-03-24 00:20:51,5.88,798,821359,820497,820504,0,0.6
2023-03-24 00:20:57,5.88,798,821360,820497,820504,0,0.6
2023-03-24 00:21:03,5.88,798,821362,820498,820504,0,0.6
2023-03-24 00:21:09,5.88,797,821361,820498,820504,0,0.6
2023-03-24 00:21:14,5.87,796,821359,820498,820504,0,0.6
2023-03-24 00:21:20,5.90,799,821360,820498,820504,0,0.6
2023-03-24 00:21:26,5.90,799,821360,820498,820504,0,0.6
2023-03-24 00:21:32,5.91,799,821361,820497,820504,0,0.6
2023-03-24 00:21:38,5.88,797,821362,820497,820504,0,0.6
2023-03-24 00:21:44,5.88,798,821361,820498,820504,0,0.6
2023-03-24 00:21:49,5.88,799,821361,820498,820503,0,0.6
2023-03-24 00:21:55,5.91,799,821360,820497,820503,0,0.6
2023-03-24 00:22:01,5.88,799,821360,820497,820503,0,0.6
2023-03-24 00:22:07,5.90,799,821359,820497,820503,0,0.6
2023-03-24 00:22:13,5.88,799,821361,820497,820503,0,0.6
2023-03-24 00:22:19,5.88,798,821361,820497,820503,0,0.6
2023-03-24 00:22:25,5.88,799,821359,820497,820503,0,0.6
2023-03-24 00:22:30,5.88,798,821361,820497,820503,0,0.6
2023-03-24 00:22:36,5.88,798,821359,820497,820503,0,0.6
2023-03-24 00:22:42,5.87,797,821359,820497,820503,0,0.6
2023-03-24 00:22:48,5.88,799,821360,820497,820503,0,0.6
2023-03-24 00:22:54,5.88,799,821361,820497,820503,0,0.6
