OWENArchiver
Дата;Время;k_int_ref;с_weight;bridge_temp;tenzo_h;tenzo_l;LH;LL;free
2023-03-23;14:08:37;799;0;715;8;24065;8;23269;0
2023-03-23;14:08:42;799;0;715;8;24063;8;23269;0
2023-03-23;14:08:47;799;0;716;8;24062;8;23268;0
2023-03-23;14:08:52;799;0;716;8;24066;8;23268;0
2023-03-23;14:08:57;798;0;717;8;24065;8;23268;0
2023-03-23;14:09:02;798;0;717;8;24065;8;23268;0
2023-03-23;14:09:07;799;0;716;8;24064;8;23268;0
2023-03-23;14:09:12;799;0;716;8;24064;8;23268;0
2023-03-23;14:09:17;799;0;716;8;24065;8;23268;0
2023-03-23;14:09:22;798;0;717;8;24065;8;23268;0
2023-03-23;14:09:27;798;0;717;8;24063;8;23267;0
2023-03-23;14:09:32;798;0;717;8;24063;8;23267;0
2023-03-23;14:09:37;799;0;716;8;24063;8;23267;0
2023-03-23;14:09:42;799;0;715;8;24066;8;23267;0
2023-03-23;14:09:47;799;0;714;8;24065;8;23267;0
2023-03-23;14:09:52;799;0;714;8;24062;8;23267;0
2023-03-23;14:09:57;799;0;714;8;24064;8;23267;0
2023-03-23;14:10:02;799;0;715;8;24064;8;23267;0
2023-03-23;14:10:07;799;0;715;8;24064;8;23267;0
2023-03-23;14:10:12;799;0;715;8;24064;8;23267;0
2023-03-23;14:10:17;799;0;715;8;24065;8;23267;0
2023-03-23;14:10:22;799;0;714;8;24063;8;23267;0
2023-03-23;14:10:27;799;0;714;8;24062;8;23266;0
2023-03-23;14:10:32;799;0;714;8;24064;8;23266;0
2023-03-23;14:10:37;799;0;714;8;24065;8;23266;0
2023-03-23;14:10:42;799;0;714;8;24065;8;23266;0
2023-03-23;14:10:47;799;0;713;8;24064;8;23267;0
2023-03-23;14:10:52;799;0;714;8;24063;8;23266;0
2023-03-23;14:10:57;799;0;714;8;24064;8;23266;0
2023-03-23;14:11:02;799;0;714;8;24063;8;23266;0
2023-03-23;14:11:07;799;0;713;8;24063;8;23266;0
2023-03-23;14:11:12;799;0;714;8;24063;8;23266;0
2023-03-23;14:11:17;799;0;714;8;24063;8;23266;0
2023-03-23;14:11:22;799;0;714;8;24063;8;23266;0
2023-03-23;14:11:27;799;0;715;8;24063;8;23266;0
2023-03-23;14:11:32;799;0;716;8;24062;8;23266;0
2023-03-23;14:11:37;799;0;716;8;24062;8;23266;0
2023-03-23;14:11:42;798;0;717;8;24063;8;23266;0
2023-03-23;14:11:47;798;0;717;8;24063;8;23266;0
2023-03-23;14:11:52;798;0;717;8;24064;8;23266;0
2023-03-23;14:11:57;798;0;717;8;24064;8;23266;0
2023-03-23;14:12:02;798;0;717;8;24062;8;23266;0
2023-03-23;14:12:07;798;0;717;8;24061;8;23265;0
2023-03-23;14:12:12;797;0;718;8;24062;8;23265;0
2023-03-23;14:12:17;797;0;718;8;24063;8;23265;0
2023-03-23;14:12:22;797;0;718;8;24063;8;23265;0
2023-03-23;14:12:27;798;0;717;8;24064;8;23265;0
2023-03-23;14:12:32;797;0;718;8;24064;8;23265;0
2023-03-23;14:12:37;797;0;718;8;24064;8;23265;0
2023-03-23;14:12:42;797;0;718;8;24064;8;23265;0
2023-03-23;14:12:47;798;0;718;8;24064;8;23265;0
2023-03-23;14:12:52;798;0;718;8;24065;8;23265;0
2023-03-23;14:12:57;798;0;718;8;24065;8;23265;0
2023-03-23;14:13:02;798;0;718;8;24066;8;23265;0
2023-03-23;14:13:07;798;0;718;8;24065;8;23265;0
2023-03-23;14:13:12;798;0;718;8;24065;8;23265;0
2023-03-23;14:13:17;798;0;718;8;24065;8;23265;0
2023-03-23;14:13:22;798;0;718;8;24063;8;23265;0
2023-03-23;14:13:27;798;0;718;8;24063;8;23265;0
2023-03-23;14:13:32;798;0;718;8;24062;8;23265;0
2023-03-23;14:13:37;798;0;718;8;24064;8;23265;0
2023-03-23;14:13:42;798;0;718;8;24063;8;23265;0
2023-03-23;14:13:47;798;0;718;8;24063;8;23264;0
2023-03-23;14:13:52;798;0;718;8;24063;8;23264;0
2023-03-23;14:13:57;799;0;718;8;24061;8;23264;0
2023-03-23;14:14:02;799;0;718;8;24061;8;23264;0
2023-03-23;14:14:07;799;0;718;8;24061;8;23264;0
2023-03-23;14:14:12;799;0;718;8;24062;8;23264;0
2023-03-23;14:14:17;799;0;718;8;24063;8;23264;0
2023-03-23;14:14:22;799;0;718;8;24064;8;23264;0
2023-03-23;14:14:27;799;0;718;8;24063;8;23264;0
2023-03-23;14:14:32;799;0;718;8;24063;8;23264;0
2023-03-23;14:14:37;799;0;718;8;24063;8;23264;0
2023-03-23;14:14:42;799;0;718;8;24062;8;23264;0
2023-03-23;14:14:47;799;0;718;8;24061;8;23264;0
2023-03-23;14:14:52;799;0;718;8;24061;8;23263;0
2023-03-23;14:14:57;799;0;718;8;24062;8;23263;0
2023-03-23;14:15:02;799;0;718;8;24062;8;23263;0
2023-03-23;14:15:07;799;0;718;8;24063;8;23263;0
2023-03-23;14:15:12;799;0;718;8;24063;8;23263;0
2023-03-23;14:15:17;799;0;718;8;24062;8;23263;0
2023-03-23;14:15:22;799;0;718;8;24061;8;23262;0
2023-03-23;14:15:27;799;0;718;8;24061;8;23262;0
2023-03-23;14:15:32;799;0;718;8;24063;8;23262;0
2023-03-23;14:15:37;799;0;718;8;24064;8;23262;0
2023-03-23;14:15:42;799;0;718;8;24063;8;23262;0
2023-03-23;14:15:47;799;0;718;8;24063;8;23262;0
2023-03-23;14:15:52;799;0;718;8;24062;8;23262;0
2023-03-23;14:15:57;799;0;718;8;24063;8;23262;0
2023-03-23;14:16:02;799;0;718;8;24063;8;23262;0
2023-03-23;14:16:07;799;0;718;8;24061;8;23262;0
