OWENArchiver
Дата;Время;k_int_ref;с_weight;bridge_temp;tenzo_h;tenzo_l;LH;LL;free
2023-03-24;00:00:00;798;0;534;8;24092;8;23489;4
2023-03-24;00:00:05;798;0;534;8;24091;8;23489;4
2023-03-24;00:00:10;798;0;534;8;24091;8;23489;4
2023-03-24;00:00:15;797;0;533;8;24091;8;23489;4
2023-03-24;00:00:20;797;0;533;8;24089;8;23489;4
2023-03-24;00:00:25;797;0;533;8;24089;8;23489;4
2023-03-24;00:00:30;797;0;533;8;24087;8;23489;4
2023-03-24;00:00:35;798;0;533;8;24090;8;23489;4
2023-03-24;00:00:40;798;0;533;8;24093;8;23489;4
2023-03-24;00:00:45;798;0;533;8;24091;8;23489;4
2023-03-24;00:00:50;798;0;533;8;24090;8;23489;4
2023-03-24;00:00:55;798;0;533;8;24090;8;23489;4
2023-03-24;00:01:00;798;0;533;8;24093;8;23489;4
2023-03-24;00:01:05;796;0;532;8;24094;8;23489;4
2023-03-24;00:01:10;797;0;532;8;24094;8;23489;4
2023-03-24;00:01:15;797;0;532;8;24094;8;23489;4
2023-03-24;00:01:20;797;0;532;8;24094;8;23490;4
2023-03-24;00:01:25;797;0;532;8;24093;8;23490;4
2023-03-24;00:01:30;797;0;532;8;24093;8;23490;4
2023-03-24;00:01:35;795;0;531;8;24093;8;23490;4
2023-03-24;00:01:40;797;0;532;8;24092;8;23490;4
2023-03-24;00:01:45;798;0;532;8;24092;8;23490;4
2023-03-24;00:01:50;796;0;531;8;24094;8;23491;4
2023-03-24;00:01:55;796;0;531;8;24095;8;23491;4
2023-03-24;00:02:00;796;0;531;8;24094;8;23491;4
2023-03-24;00:02:05;796;0;531;8;24094;8;23491;4
2023-03-24;00:02:10;798;0;532;8;24090;8;23491;4
2023-03-24;00:02:15;797;0;531;8;24088;8;23491;4
2023-03-24;00:02:20;797;0;531;8;24089;8;23491;4
2023-03-24;00:02:25;797;0;531;8;24090;8;23491;4
2023-03-24;00:02:30;797;0;531;8;24092;8;23492;4
2023-03-24;00:02:35;797;0;531;8;24093;8;23492;4
2023-03-24;00:02:40;797;0;531;8;24093;8;23492;4
2023-03-24;00:02:45;797;0;531;8;24093;8;23492;4
2023-03-24;00:02:50;797;0;531;8;24092;8;23492;4
2023-03-24;00:02:55;798;0;531;8;24090;8;23492;4
2023-03-24;00:03:00;798;0;531;8;24087;8;23492;4
2023-03-24;00:03:05;798;0;531;8;24087;8;23491;4
2023-03-24;00:03:10;798;0;531;8;24087;8;23491;4
2023-03-24;00:03:15;798;0;531;8;24091;8;23491;4
2023-03-24;00:03:20;798;0;531;8;24095;8;23491;4
2023-03-24;00:03:25;798;0;531;8;24094;8;23492;4
2023-03-24;00:03:30;798;0;531;8;24095;8;23492;4
2023-03-24;00:03:35;798;0;531;8;24096;8;23492;4
2023-03-24;00:03:40;798;0;531;8;24095;8;23492;4
2023-03-24;00:03:45;798;0;531;8;24095;8;23492;4
2023-03-24;00:03:50;798;0;531;8;24093;8;23492;4
2023-03-24;00:03:55;798;0;531;8;24091;8;23492;4
2023-03-24;00:04:00;798;0;531;8;24090;8;23492;4
2023-03-24;00:04:05;799;0;531;8;24090;8;23492;4
2023-03-24;00:04:10;799;0;531;8;24091;8;23492;4
2023-03-24;00:04:15;799;0;531;8;24091;8;23492;4
2023-03-24;00:04:20;799;0;531;8;24091;8;23492;4
2023-03-24;00:04:25;799;0;531;8;24093;8;23493;4
2023-03-24;00:04:30;799;0;531;8;24096;8;23493;4
2023-03-24;00:04:35;799;0;531;8;24095;8;23493;4
2023-03-24;00:04:40;799;0;531;8;24092;8;23493;4
2023-03-24;00:04:45;799;0;531;8;24090;8;23493;4
2023-03-24;00:04:50;799;0;531;8;24090;8;23493;4
2023-03-24;00:04:55;799;0;531;8;24090;8;23493;4
2023-03-24;00:05:00;799;0;531;8;24091;8;23493;4
2023-03-24;00:05:05;799;0;531;8;24093;8;23494;4
2023-03-24;00:05:10;799;0;531;8;24094;8;23494;4
2023-03-24;00:05:15;799;0;531;8;24095;8;23494;4
2023-03-24;00:05:20;799;0;531;8;24094;8;23494;4
2023-03-24;00:05:25;799;0;531;8;24094;8;23494;4
2023-03-24;00:05:30;799;0;531;8;24091;8;23494;4
2023-03-24;00:05:35;799;0;531;8;24091;8;23493;4
2023-03-24;00:05:40;799;0;531;8;24091;8;23493;4
2023-03-24;00:05:45;799;0;531;8;24091;8;23493;4
2023-03-24;00:05:50;799;0;531;8;24093;8;23493;4
2023-03-24;00:05:55;799;0;531;8;24095;8;23494;4
2023-03-24;00:06:00;799;0;531;8;24095;8;23494;4
2023-03-24;00:06:05;799;0;531;8;24093;8;23494;4
2023-03-24;00:06:10;799;0;531;8;24093;8;23494;4
