Дата;Время;k_int_ref;с_weight;bridge_temp;tenzo_h;tenzo_l;LH;LL;free;temp;datetime;level;tenzo
16.03.2023;10:21:37;796;63;466;5;17240;5;16809;0;4.66;16.03.2023 10:21;344489;344920
16.03.2023;10:21:42;788;63;469;5;17233;5;16857;0;4.69;16.03.2023 10:21;344537;344913
16.03.2023;10:21:47;789;63;469;5;17232;5;16851;0;4.69;16.03.2023 10:21;344531;344912
16.03.2023;10:21:52;789;63;469;5;17227;5;16847;0;4.69;16.03.2023 10:21;344527;344907
16.03.2023;10:21:57;789;63;469;5;17227;5;16847;0;4.69;16.03.2023 10:21;344527;344907
16.03.2023;10:22:02;795;63;467;5;17225;5;16843;0;4.67;16.03.2023 10:22;344523;344905
16.03.2023;10:22:07;795;63;467;5;17229;5;16841;0;4.67;16.03.2023 10:22;344521;344909
16.03.2023;10:22:12;790;63;469;5;17231;5;16839;0;4.69;16.03.2023 10:22;344519;344911
16.03.2023;10:22:17;788;63;470;5;17228;5;16836;0;4.7;16.03.2023 10:22;344516;344908
16.03.2023;10:22:22;792;63;469;5;17228;5;16834;0;4.69;16.03.2023 10:22;344514;344908
16.03.2023;10:22:27;792;63;469;5;17232;5;16833;0;4.69;16.03.2023 10:22;344513;344912
16.03.2023;10:22:32;792;63;469;5;17232;5;16833;0;4.69;16.03.2023 10:22;344513;344912
16.03.2023;10:22:37;792;63;469;5;17234;5;16831;0;4.69;16.03.2023 10:22;344511;344914
16.03.2023;10:22:42;793;63;469;5;17227;5;16830;0;4.69;16.03.2023 10:22;344510;344907
16.03.2023;10:22:47;797;63;467;5;17226;5;16828;0;4.67;16.03.2023 10:22;344508;344906
16.03.2023;10:22:52;798;63;467;5;17233;5;16828;0;4.67;16.03.2023 10:22;344508;344913
16.03.2023;10:22:57;791;63;470;5;17236;5;16827;0;4.7;16.03.2023 10:22;344507;344916
16.03.2023;10:23:02;791;63;470;5;17236;5;16827;0;4.7;16.03.2023 10:23;344507;344916
16.03.2023;10:23:07;791;63;470;5;17233;5;16826;0;4.7;16.03.2023 10:23;344506;344913
16.03.2023;10:23:12;792;63;470;5;17236;5;16826;0;4.7;16.03.2023 10:23;344506;344916
16.03.2023;10:23:17;792;63;470;5;17240;5;16826;0;4.7;16.03.2023 10:23;344506;344920
16.03.2023;10:23:22;786;63;472;5;17244;5;16826;0;4.72;16.03.2023 10:23;344506;344924
16.03.2023;10:23:27;793;63;470;5;17245;5;16826;0;4.7;16.03.2023 10:23;344506;344925
16.03.2023;10:23:32;793;63;470;5;17244;5;16826;0;4.7;16.03.2023 10:23;344506;344924
16.03.2023;10:23:37;794;63;470;5;17245;5;16826;0;4.7;16.03.2023 10:23;344506;344925
16.03.2023;10:23:42;794;63;470;5;17245;5;16826;0;4.7;16.03.2023 10:23;344506;344925
16.03.2023;10:23:47;794;63;470;5;17248;5;16827;0;4.7;16.03.2023 10:23;344507;344928
16.03.2023;10:23:52;794;63;470;5;17247;5;16828;0;4.7;16.03.2023 10:23;344508;344927
16.03.2023;10:23:57;795;63;470;5;17246;5;16829;0;4.7;16.03.2023 10:23;344509;344926
16.03.2023;10:24:02;795;63;470;5;17249;5;16830;0;4.7;16.03.2023 10:24;344510;344929
16.03.2023;10:24:07;795;63;470;5;17245;5;16830;0;4.7;16.03.2023 10:24;344510;344925
16.03.2023;10:24:12;795;63;470;5;17245;5;16830;0;4.7;16.03.2023 10:24;344510;344925
16.03.2023;10:24:17;790;63;472;5;17236;5;16830;0;4.72;16.03.2023 10:24;344510;344916
16.03.2023;10:24:22;791;63;472;5;17237;5;16831;0;4.72;16.03.2023 10:24;344511;344917
16.03.2023;10:24:27;796;63;470;5;17241;5;16831;0;4.7;16.03.2023 10:24;344511;344921
16.03.2023;10:24:32;796;63;470;5;17243;5;16831;0;4.7;16.03.2023 10:24;344511;344923
16.03.2023;10:24:37;796;63;470;5;17243;5;16832;0;4.7;16.03.2023 10:24;344512;344923
16.03.2023;10:24:42;797;63;470;5;17247;5;16833;0;4.7;16.03.2023 10:24;344513;344927
16.03.2023;10:24:47;797;63;470;5;17247;5;16833;0;4.7;16.03.2023 10:24;344513;344927
