OWENArchiver
Дата;Время;k_int_ref;с_weight;bridge_temp;tenzo_h;tenzo_l;LH;LL;free
2023-03-17;00:00:00;799;65;413;5;16595;5;16244;16
2023-03-17;00:00:05;799;65;411;5;16592;5;16243;16
2023-03-17;00:00:10;798;65;410;5;16595;5;16242;16
2023-03-17;00:00:15;799;65;413;5;16603;5;16241;16
2023-03-17;00:00:20;799;65;413;5;16603;5;16241;16
2023-03-17;00:00:25;798;65;410;5;16609;5;16241;16
2023-03-17;00:00:30;799;65;411;5;16614;5;16241;16
2023-03-17;00:00:35;798;65;410;5;16617;5;16241;16
2023-03-17;00:00:40;799;65;411;5;16620;5;16241;16
2023-03-17;00:00:45;799;65;413;5;16622;5;16242;16
2023-03-17;00:00:50;799;65;413;5;16619;5;16242;16
2023-03-17;00:00:55;799;65;413;5;16619;5;16242;16
2023-03-17;00:01:00;798;65;410;5;16615;5;16243;16
2023-03-17;00:01:05;799;65;414;5;16613;5;16244;16
2023-03-17;00:01:10;798;65;410;5;16611;5;16244;16
2023-03-17;00:01:15;799;65;411;5;16609;5;16245;16
2023-03-17;00:01:20;799;65;411;5;16607;5;16245;16
2023-03-17;00:01:25;799;65;413;5;16605;5;16245;16
2023-03-17;00:01:30;799;65;413;5;16605;5;16245;16
2023-03-17;00:01:35;799;65;411;5;16607;5;16246;16
2023-03-17;00:01:40;795;65;408;5;16611;5;16247;16
2023-03-17;00:01:45;799;65;413;5;16609;5;16247;16
2023-03-17;00:01:50;799;65;411;5;16606;5;16248;16
2023-03-17;00:01:55;799;65;411;5;16605;5;16248;16
2023-03-17;00:02:00;799;65;411;5;16607;5;16249;16
2023-03-17;00:02:05;799;65;411;5;16607;5;16249;16
2023-03-17;00:02:10;798;65;410;5;16615;5;16250;16
2023-03-17;00:02:15;799;65;411;5;16617;5;16251;16
2023-03-17;00:02:20;798;65;410;5;16614;5;16251;16
2023-03-17;00:02:25;799;65;413;5;16613;5;16251;16
2023-03-17;00:02:30;799;65;411;5;16608;5;16251;16
2023-03-17;00:02:35;799;65;411;5;16608;5;16251;16
2023-03-17;00:02:40;798;65;414;5;16605;5;16250;16
2023-03-17;00:02:45;799;65;411;5;16605;5;16249;16
2023-03-17;00:02:50;798;65;410;5;16609;5;16249;16
2023-03-17;00:02:55;799;65;411;5;16614;5;16249;16
2023-03-17;00:03:00;799;65;410;5;16616;5;16249;16
2023-03-17;00:03:05;799;65;411;5;16614;5;16249;16
2023-03-17;00:03:10;799;65;410;5;16613;5;16249;16
2023-03-17;00:03:15;799;65;410;5;16613;5;16249;16
2023-03-17;00:03:20;799;65;411;5;16614;5;16249;16
2023-03-17;00:03:25;799;65;411;5;16611;5;16250;16
2023-03-17;00:03:30;799;65;410;5;16607;5;16250;16
2023-03-17;00:03:35;799;65;410;5;16604;5;16250;16
2023-03-17;00:03:40;799;65;411;5;16603;5;16249;16
2023-03-17;00:03:45;799;65;411;5;16603;5;16249;16
2023-03-17;00:03:50;799;65;411;5;16601;5;16249;16
2023-03-17;00:03:55;799;65;410;5;16602;5;16249;16
2023-03-17;00:04:00;799;65;411;5;16601;5;16249;16
2023-03-17;00:04:05;799;65;410;5;16602;5;16248;16
2023-03-17;00:04:10;799;65;411;5;16604;5;16247;16
2023-03-17;00:04:15;799;65;413;5;16605;5;16247;16
2023-03-17;00:04:20;799;65;413;5;16605;5;16247;16
2023-03-17;00:04:25;799;65;411;5;16607;5;16247;16
2023-03-17;00:04:30;799;65;410;5;16608;5;16247;16
2023-03-17;00:04:35;799;65;410;5;16607;5;16247;16
2023-03-17;00:04:40;799;65;411;5;16603;5;16247;16
2023-03-17;00:04:45;799;65;411;5;16598;5;16246;16
2023-03-17;00:04:50;799;65;410;5;16598;5;16245;16
2023-03-17;00:04:55;799;65;410;5;16598;5;16245;16
2023-03-17;00:05:00;799;65;410;5;16599;5;16245;16
2023-03-17;00:05:05;796;65;408;5;16599;5;16244;16
2023-03-17;00:05:10;799;65;410;5;16598;5;16243;16
2023-03-17;00:05:15;799;65;410;5;16598;5;16242;16
2023-03-17;00:05:20;799;65;410;5;16595;5;16242;16
2023-03-17;00:05:25;797;65;408;5;16592;5;16241;16
2023-03-17;00:05:30;797;65;408;5;16592;5;16241;16
2023-03-17;00:05:35;799;65;410;5;16598;5;16241;16
2023-03-17;00:05:40;799;65;411;5;16602;5;16241;16
2023-03-17;00:05:45;799;65;411;5;16604;5;16241;16
2023-03-17;00:05:50;799;65;411;5;16605;5;16241;16
2023-03-17;00:05:55;799;65;410;5;16600;5;16241;16
2023-03-17;00:06:00;793;65;406;5;16598;5;16241;16
2023-03-17;00:06:05;793;65;406;5;16598;5;16241;16
2023-03-17;00:06:10;797;65;408;5;16602;5;16241;16
2023-03-17;00:06:15;799;65;410;5;16601;5;16241;16
2023-03-17;00:06:20;799;65;410;5;16598;5;16240;16
2023-03-17;00:06:25;799;65;410;5;16602;5;16240;16
2023-03-17;00:06:30;799;65;411;5;16606;5;16240;16
2023-03-17;00:06:35;799;65;411;5;16605;5;16240;16
2023-03-17;00:06:40;799;65;411;5;16605;5;16240;16
2023-03-17;00:06:45;799;65;410;5;16605;5;16240;16
2023-03-17;00:06:50;799;65;410;5;16606;5;16241;16
2023-03-17;00:06:55;799;65;410;5;16601;5;16241;16
2023-03-17;00:07:00;798;65;408;5;16597;5;16241;16
2023-03-17;00:07:05;799;65;410;5;16598;5;16241;16
2023-03-17;00:07:10;799;65;410;5;16600;5;16241;16
2023-03-17;00:07:15;799;65;410;5;16600;5;16241;16
2023-03-17;00:07:20;799;65;411;5;16601;5;16241;16
2023-03-17;00:07:25;799;65;410;5;16600;5;16242;16
2023-03-17;00:07:30;799;65;410;5;16602;5;16242;16
2023-03-17;00:07:35;799;65;411;5;16606;5;16242;16
2023-03-17;00:07:40;799;65;410;5;16607;5;16242;16
2023-03-17;00:07:45;799;65;410;5;16607;5;16242;16
2023-03-17;00:07:50;799;65;410;5;16607;5;16242;16
2023-03-17;00:07:55;798;65;408;5;16602;5;16242;16
2023-03-17;00:08:00;799;65;410;5;16601;5;16243;16
2023-03-17;00:08:05;798;65;408;5;16602;5;16243;16
2023-03-17;00:08:10;799;65;410;5;16602;5;16243;16
2023-03-17;00:08:15;798;65;408;5;16601;5;16243;16
2023-03-17;00:08:20;799;65;411;5;16600;5;16243;16
2023-03-17;00:08:25;799;65;411;5;16600;5;16243;16
2023-03-17;00:08:30;798;65;408;5;16595;5;16242;16
2023-03-17;00:08:35;798;65;408;5;16593;5;16242;16
2023-03-17;00:08:40;799;65;410;5;16594;5;16241;16
2023-03-17;00:08:45;798;65;408;5;16593;5;16241;16
2023-03-17;00:08:50;798;65;408;5;16594;5;16240;16
2023-03-17;00:08:55;798;65;408;5;16594;5;16240;16
2023-03-17;00:09:00;798;65;408;5;16593;5;16240;16
2023-03-17;00:09:05;798;65;408;5;16589;5;16240;16
2023-03-17;00:09:10;799;65;410;5;16591;5;16239;16
2023-03-17;00:09:15;798;65;408;5;16591;5;16239;16
2023-03-17;00:09:20;799;65;411;5;16588;5;16238;16
2023-03-17;00:09:25;798;65;408;5;16588;5;16238;16
2023-03-17;00:09:30;798;65;408;5;16588;5;16238;16
2023-03-17;00:09:35;799;65;408;5;16589;5;16237;16
