OWENArchiver
Дата;Время;weight;с_weight;tenzo_h;tenzo_l;temp;temp_top
2023-02-03;00:00:01;3090;3094;118;57488;65525;1550
2023-02-03;00:00:06;3090;3094;118;57482;65525;1550
2023-02-03;00:00:11;3090;3093;118;57488;65525;1550
2023-02-03;00:00:16;3090;3093;118;57488;65526;1550
2023-02-03;00:00:21;3090;3093;118;57489;65526;1550
2023-02-03;00:00:26;3090;3093;118;57484;65526;1550
2023-02-03;00:00:31;3090;3093;118;57480;65526;1550
2023-02-03;00:00:36;3090;3093;118;57473;65526;1550
2023-02-03;00:00:41;3090;3093;118;57486;65526;1550
2023-02-03;00:00:46;3090;3093;118;57482;65526;1550
2023-02-03;00:00:51;3090;3093;118;57482;65526;1550
2023-02-03;00:00:56;3090;3093;118;57460;65526;1550
2023-02-03;00:01:01;3090;3092;118;57459;65526;1550
2023-02-03;00:01:06;3090;3093;118;57464;65526;1550
2023-02-03;00:01:11;3090;3093;118;57469;65526;1550
2023-02-03;00:01:16;3090;3092;118;57482;65526;1550
2023-02-03;00:01:21;3090;3092;118;57484;65526;1550
2023-02-03;00:01:26;3090;3092;118;57484;65526;1550
2023-02-03;00:01:31;3090;3092;118;57471;65526;1550
2023-02-03;00:01:36;3090;3092;118;57470;65527;1550
2023-02-03;00:01:41;3090;3092;118;57463;65527;1550
2023-02-03;00:01:46;3090;3092;118;57465;65527;1550
2023-02-03;00:01:51;3090;3092;118;57463;65527;1550
2023-02-03;00:01:56;3090;3092;118;57447;65527;1550
2023-02-03;00:02:01;3090;3092;118;57447;65527;1550
2023-02-03;00:02:06;3090;3092;118;57455;65527;1550
2023-02-03;00:02:11;3090;3092;118;57465;65527;1550
2023-02-03;00:02:16;3090;3092;118;57458;65527;1550
2023-02-03;00:02:21;3090;3092;118;57453;65527;1550
2023-02-03;00:02:26;3090;3092;118;57447;65527;1550
2023-02-03;00:02:31;3090;3092;118;57449;65527;1550
2023-02-03;00:02:36;3090;3092;118;57449;65527;1550
2023-02-03;00:02:41;3090;3092;118;57463;65528;1550
2023-02-03;00:02:46;3090;3092;118;57465;65527;1550
2023-02-03;00:02:51;3090;3092;118;57457;65528;1550
2023-02-03;00:02:56;3090;3092;118;57455;65528;1550
2023-02-03;00:03:01;3090;3092;118;57460;65528;1550
2023-02-03;00:03:06;3090;3092;118;57460;65528;1550
2023-02-03;00:03:11;3090;3092;118;57471;65528;1550
2023-02-03;00:03:16;3090;3092;118;57476;65528;1550
2023-02-03;00:03:21;3090;3092;118;57463;65528;1550
2023-02-03;00:03:26;3090;3092;118;57450;65528;1550
2023-02-03;00:03:31;3090;3092;118;57443;65528;1550
2023-02-03;00:03:36;3090;3092;118;57442;65528;1550
2023-02-03;00:03:41;3090;3092;118;57442;65528;1550
2023-02-03;00:03:46;3090;3092;118;57445;65528;1550
2023-02-03;00:03:51;3090;3092;118;57446;65528;1550
2023-02-03;00:03:56;3090;3092;118;57445;65528;1550
2023-02-03;00:04:01;3090;3092;118;57442;65529;1550
2023-02-03;00:04:06;3090;3092;118;57443;65528;1550
2023-02-03;00:04:11;3090;3092;118;57443;65529;1550
2023-02-03;00:04:16;3090;3092;118;57443;65529;1550
2023-02-03;00:04:21;3090;3092;118;57447;65529;1550
2023-02-03;00:04:26;3090;3092;118;57438;65528;1550
2023-02-03;00:04:31;3090;3092;118;57437;65529;1550
2023-02-03;00:04:36;3090;3092;118;57452;65529;1550
2023-02-03;00:04:41;3090;3092;118;57454;65529;1550
2023-02-03;00:04:46;3090;3092;118;57437;65529;1550
2023-02-03;00:04:51;3090;3092;118;57437;65529;1550
2023-02-03;00:04:56;3090;3092;118;57428;65529;1550
2023-02-03;00:05:01;3090;3092;118;57430;65529;1550
2023-02-03;00:05:06;3090;3092;118;57436;65529;1550
2023-02-03;00:05:11;3090;3092;118;57446;65529;1550
2023-02-03;00:05:16;3090;3092;118;57446;65529;1550
2023-02-03;00:05:21;3090;3092;118;57431;65529;1550
2023-02-03;00:05:26;3090;3092;118;57431;65529;1550
2023-02-03;00:05:31;3090;3091;118;57420;65530;1550
2023-02-03;00:05:36;3090;3091;118;57427;65530;1550
2023-02-03;00:05:41;3090;3091;118;57428;65530;1550
2023-02-03;00:05:46;3090;3091;118;57421;65530;1550
2023-02-03;00:05:51;3090;3091;118;57416;65530;1550
2023-02-03;00:05:56;3090;3091;118;57414;65530;1550
2023-02-03;00:06:01;3090;3091;118;57414;65530;1550
2023-02-03;00:06:06;3090;3091;118;57424;65530;1550
2023-02-03;00:06:11;3090;3091;118;57426;65530;1550
2023-02-03;00:06:16;3090;3091;118;57433;65530;1550
2023-02-03;00:06:21;3090;3091;118;57437;65530;1550
2023-02-03;00:06:26;3090;3091;118;57438;65530;1550
2023-02-03;00:06:31;3090;3091;118;57436;65530;1550
2023-02-03;00:06:36;3090;3091;118;57436;65530;1550
2023-02-03;00:06:41;3090;3091;118;57421;65530;1550
2023-02-03;00:06:46;3090;3091;118;57411;65530;1550
2023-02-03;00:06:51;3090;3091;118;57417;65530;1550
2023-02-03;00:06:56;3090;3091;118;57417;65530;1550
2023-02-03;00:07:01;3090;3091;118;57409;65530;1550
2023-02-03;00:07:06;3090;3091;118;57414;65530;1550
2023-02-03;00:07:11;3090;3091;118;57414;65530;1550
2023-02-03;00:07:16;3090;3091;118;57415;65530;1550
2023-02-03;00:07:21;3090;3091;118;57416;65530;1550
2023-02-03;00:07:26;3090;3091;118;57421;65530;1550
2023-02-03;00:07:31;3090;3091;118;57417;65530;1550
2023-02-03;00:07:36;3090;3091;118;57410;65530;1550
2023-02-03;00:07:41;3090;3091;118;57404;65530;1550
2023-02-03;00:07:46;3090;3091;118;57404;65530;1550
2023-02-03;00:07:51;3090;3091;118;57418;65531;1550
2023-02-03;00:07:56;3090;3091;118;57425;65531;1550
2023-02-03;00:08:01;3090;3091;118;57420;65530;1550
2023-02-03;00:08:06;3090;3091;118;57427;65531;1550
2023-02-03;00:08:11;3090;3091;118;57420;65531;1550
2023-02-03;00:08:16;3090;3091;118;57425;65531;1550
2023-02-03;00:08:21;3090;3091;118;57425;65531;1550
2023-02-03;00:08:26;3090;3091;118;57432;65531;1550
2023-02-03;00:08:31;3090;3091;118;57422;65531;1550
2023-02-03;00:08:36;3090;3091;118;57417;65531;1550
2023-02-03;00:08:41;3090;3091;118;57412;65531;1550
2023-02-03;00:08:46;3090;3091;118;57414;65531;1550
2023-02-03;00:08:51;3090;3091;118;57413;65531;1550
2023-02-03;00:08:56;3090;3091;118;57413;65531;1550
2023-02-03;00:09:01;3090;3091;118;57416;65531;1550
2023-02-03;00:09:06;3090;3091;118;57415;65531;1550
2023-02-03;00:09:11;3090;3091;118;57408;65531;1550
2023-02-03;00:09:16;3090;3091;118;57409;65531;1550
2023-02-03;00:09:21;3090;3091;118;57411;65531;1550
2023-02-03;00:09:26;3090;3091;118;57411;65531;1550
2023-02-03;00:09:31;3090;3091;118;57414;65531;1550
2023-02-03;00:09:36;3090;3091;118;57414;65531;1550
2023-02-03;00:09:41;3090;3091;118;57406;65531;1550
2023-02-03;00:09:46;3090;3091;118;57409;65531;1550
2023-02-03;00:09:51;3090;3091;118;57410;65531;1550
2023-02-03;00:09:56;3090;3091;118;57409;65531;1550
2023-02-03;00:10:01;3090;3091;118;57409;65531;1550
2023-02-03;00:10:06;3090;3091;118;57413;65532;1550
2023-02-03;00:10:11;3090;3091;118;57420;65531;1550
2023-02-03;00:10:16;3090;3091;118;57404;65532;1550
2023-02-03;00:10:21;3090;3091;118;57400;65531;1550
2023-02-03;00:10:26;3090;3091;118;57408;65532;1550
2023-02-03;00:10:31;3090;3091;118;57402;65532;1550
2023-02-03;00:10:36;3090;3091;118;57402;65531;1550
2023-02-03;00:10:41;3090;3091;118;57407;65532;1550
2023-02-03;00:10:46;3090;3091;118;57411;65532;1550
2023-02-03;00:10:51;3090;3091;118;57417;65532;1550
2023-02-03;00:10:56;3090;3091;118;57405;65532;1550
2023-02-03;00:11:01;3090;3091;118;57389;65532;1550
2023-02-03;00:11:06;3090;3091;118;57404;65532;1550
2023-02-03;00:11:11;3090;3091;118;57404;65532;1550
2023-02-03;00:11:16;3090;3091;118;57407;65532;1550
2023-02-03;00:11:21;3090;3091;118;57399;65532;1550
2023-02-03;00:11:26;3090;3091;118;57397;65532;1550
2023-02-03;00:11:31;3090;3091;118;57401;65532;1550
2023-02-03;00:11:36;3090;3091;118;57396;65532;1550
2023-02-03;00:11:41;3090;3091;118;57393;65532;1550
2023-02-03;00:11:46;3090;3091;118;57393;65532;1550
2023-02-03;00:11:51;3090;3091;118;57396;65532;1550
2023-02-03;00:11:56;3090;3091;118;57389;65532;1550
2023-02-03;00:12:01;3090;3091;118;57393;65532;1550
2023-02-03;00:12:06;3090;3091;118;57397;65532;1550
2023-02-03;00:12:11;3090;3091;118;57395;65532;1550
2023-02-03;00:12:16;3090;3091;118;57394;65532;1550
2023-02-03;00:12:21;3090;3091;118;57394;65532;1550
2023-02-03;00:12:26;3089;3091;118;57378;65532;1550
2023-02-03;00:12:31;3089;3091;118;57383;65532;1550
2023-02-03;00:12:36;3090;3091;118;57398;65532;1550
2023-02-03;00:12:41;3090;3091;118;57401;65532;1550
2023-02-03;00:12:46;3090;3091;118;57403;65532;1550
2023-02-03;00:12:51;3090;3091;118;57410;65533;1550
2023-02-03;00:12:56;3090;3091;118;57410;65532;1550
2023-02-03;00:13:01;3090;3091;118;57407;65533;1550
2023-02-03;00:13:06;3090;3091;118;57396;65533;1550
2023-02-03;00:13:11;3090;3091;118;57397;65532;1550
2023-02-03;00:13:16;3090;3091;118;57397;65533;1550
2023-02-03;00:13:21;3090;3091;118;57401;65533;1550
2023-02-03;00:13:26;3090;3090;118;57407;65533;1550
2023-02-03;00:13:31;3090;3090;118;57407;65533;1550
2023-02-03;00:13:36;3090;3090;118;57399;65533;1550
2023-02-03;00:13:41;3090;3090;118;57395;65533;1550
2023-02-03;00:13:46;3090;3091;118;57405;65533;1550
2023-02-03;00:13:51;3090;3091;118;57411;65533;1550
2023-02-03;00:13:56;3090;3090;118;57402;65533;1550
2023-02-03;00:14:01;3090;3091;118;57398;65533;1550
2023-02-03;00:14:06;3090;3091;118;57398;65533;1550
2023-02-03;00:14:11;3090;3091;118;57396;65533;1550
2023-02-03;00:14:16;3090;3091;118;57398;65533;1550
2023-02-03;00:14:21;3090;3090;118;57397;65533;1550
2023-02-03;00:14:26;3090;3090;118;57394;65533;1550
2023-02-03;00:14:31;3090;3090;118;57391;65533;1550
2023-02-03;00:14:36;3090;3090;118;57393;65533;1550
2023-02-03;00:14:41;3090;3090;118;57393;65533;1550
2023-02-03;00:14:46;3090;3090;118;57393;65533;1550
2023-02-03;00:14:51;3089;3090;118;57382;65533;1550
2023-02-03;00:14:56;3090;3090;118;57387;65533;1550
2023-02-03;00:15:01;3090;3090;118;57387;65533;1550
2023-02-03;00:15:06;3090;3090;118;57392;65533;1550
2023-02-03;00:15:11;3090;3090;118;57396;65533;1550
2023-02-03;00:15:16;3090;3090;118;57396;65533;1550
