OWENArchiver
Дата;Время;weight;с_weight;tenzo_h;tenzo_l;temp;temp_top
2023-02-06;00:00:00;64900;64959;112;28088;65337;1550
2023-02-06;00:00:05;64900;64959;112;28115;65337;1550
2023-02-06;00:00:10;64900;64959;112;28103;65337;1550
2023-02-06;00:00:15;64900;64959;112;28100;65337;1550
2023-02-06;00:00:20;64900;64959;112;28114;65337;1550
2023-02-06;00:00:25;64900;64959;112;28083;65337;1550
2023-02-06;00:00:30;64900;64959;112;28083;65337;1550
2023-02-06;00:00:35;64900;64959;112;28079;65337;1550
2023-02-06;00:00:40;64900;64959;112;28107;65337;1550
2023-02-06;00:00:45;64900;64959;112;28109;65337;1550
2023-02-06;00:00:50;64900;64959;112;28116;65337;1550
2023-02-06;00:00:55;64900;64959;112;28112;65337;1550
2023-02-06;00:01:00;64900;64959;112;28108;65337;1550
2023-02-06;00:01:05;64900;64959;112;28108;65337;1550
2023-02-06;00:01:10;64900;64959;112;28095;65337;1550
2023-02-06;00:01:15;64900;64959;112;28086;65337;1550
2023-02-06;00:01:20;64900;64959;112;28109;65337;1550
2023-02-06;00:01:25;64900;64959;112;28120;65337;1550
2023-02-06;00:01:30;64900;64959;112;28131;65337;1550
2023-02-06;00:01:35;64900;64959;112;28131;65337;1550
2023-02-06;00:01:40;64900;64959;112;28139;65337;1550
2023-02-06;00:01:45;64900;64959;112;28112;65337;1550
2023-02-06;00:01:50;64900;64959;112;28093;65337;1550
2023-02-06;00:01:55;64900;64959;112;28100;65337;1550
2023-02-06;00:02:00;64900;64959;112;28103;65337;1550
2023-02-06;00:02:05;64900;64959;112;28105;65337;1550
2023-02-06;00:02:10;64900;64959;112;28105;65337;1550
2023-02-06;00:02:15;64900;64959;112;28106;65337;1550
2023-02-06;00:02:20;64900;64959;112;28108;65337;1550
2023-02-06;00:02:25;64900;64959;112;28097;65337;1550
2023-02-06;00:02:30;64900;64959;112;28078;65337;1550
2023-02-06;00:02:35;64900;64959;112;28097;65337;1550
2023-02-06;00:02:40;64900;64959;112;28120;65337;1550
2023-02-06;00:02:45;64900;64959;112;28120;65337;1550
2023-02-06;00:02:50;64900;64959;112;28124;65337;1550
2023-02-06;00:02:55;64900;64959;112;28106;65337;1550
2023-02-06;00:03:00;64900;64959;112;28102;65337;1550
2023-02-06;00:03:05;64900;64959;112;28115;65337;1550
2023-02-06;00:03:10;64900;64959;112;28095;65337;1550
2023-02-06;00:03:15;64900;64959;112;28085;65337;1550
2023-02-06;00:03:20;64900;64959;112;28085;65337;1550
2023-02-06;00:03:25;64900;64959;112;28092;65337;1550
2023-02-06;00:03:30;64900;64959;112;28106;65337;1550
2023-02-06;00:03:35;64900;64959;112;28123;65337;1550
2023-02-06;00:03:40;64900;64959;112;28101;65337;1550
2023-02-06;00:03:45;64900;64959;112;28086;65337;1550
2023-02-06;00:03:50;64900;64959;112;28088;65337;1550
2023-02-06;00:03:55;64900;64959;112;28088;65337;1550
2023-02-06;00:04:00;64900;64959;112;28075;65337;1550
2023-02-06;00:04:05;64900;64959;112;28078;65337;1550
2023-02-06;00:04:10;64900;64959;112;28091;65337;1550
2023-02-06;00:04:15;64900;64959;112;28097;65337;1550
2023-02-06;00:04:20;64899;64959;112;28062;65337;1550
2023-02-06;00:04:25;64899;64959;112;28058;65337;1550
